#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-02-24T16:30:15
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml10323

#RESOURCE=7235
#Name: VII/235
#Title:	Quasars and Active Galactic Nuclei (11th Ed.) (Veron+, 2003)
#Table	VII_235_table3:
#Name: VII/235/table3
#Title:	Active galaxies (fainter than -23)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	notRadio	(A1)	[*] '*' if not detected in radio (1)	[ucd=CODE_MISC]
#Column	Name	(A17)	Most common name of the object        (link)	[ucd=ID_IDENTIFIER]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (see also n_RAh)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(A9)	Declination J2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_RAh	(A1)	[AOR] Approximative/Optical/Radio position (2)	[ucd=NOTE]
#Column	F6cm	(F6.3)	? 6cm (5GHz) flux	[ucd=PHOT_FLUX_RADIO_5G]
#Column	r_F6cm	(I4)	[1,2377]? Reference of 6cm Flux        (link)	[ucd=REFER_CODE]
#Column	F11cm	(F5.2)	? 11cm (2.7GHz) flux (Jy)	[ucd=PHOT_FLUX_RADIO_2.7G]
#Column	r_F11cm	(I4)	[1,2377]? Reference of 11cm flux        (link)	[ucd=REFER_CODE]
#Column	l_z	(A1)	[>*] limit or method flag on z (4)	[ucd=CODE_LIMIT]
#Column	z	(F6.3)	? redshift	[ucd=REDSHIFT_HC]
#Column	Sp	(A4)	[S0-9?HPBLbhin. ] Spectrum classification (3)	[ucd=SPECT_TYPE_GENERAL]
#Column	n_Vmag	(A1)	[*RIO] Photographic(*), red(R), infra-red (I) or photographic O- or J- plates(O)	[ucd=NOTE]
#Column	Vmag	(F5.2)	? magnitude, V or other (see n_Vmag)	[ucd=PHOT_JHN_V]
#Column	B-V	(F5.2)	? colour index	[ucd=PHOT_JHN_B-V]
#Column	U-B	(F5.2)	? colour index	[ucd=PHOT_JHN_U-B]
#Column	Mabs	(F5.1)	? Absolute magnitude	[ucd=PHOT_ABS-MAG_BAND]
#Column	FC	(I4)	[1,2377]? Reference of the Finding Chart	[ucd=REFER_CODE]
#Column	r_Vmag	(I4)	[1,2377]? Reference of the Photometry        (link)	[ucd=REFER_CODE]
#Column	r_z	(I4)	[1,2377]? Reference of the redshift        (link)	[ucd=REFER_CODE]

recno	_Glon	_Glat	_RAJ2000	_DEJ2000	notRadio	Name	RAJ2000	DEJ2000	n_RAh	F6cm	r_F6cm	F11cm	r_F11cm	l_z	z	Sp	n_Vmag	Vmag	B-V	U-B	Mabs	FC	r_Vmag	r_z
      17	097.60	-59.20	000.2013	 +1.1567	*	SDSS J00008+0109 	00 00 48.3	+01 09 24	O	      	   2	     	    	 	 0.250	S1  	 	20.06	     	     	-20.9	    	    	   2
      18	329.65	-69.75	000.2233	-44.6592	*	CTS C16.16       	00 00 53.6	-44 39 33	O	      	    	     	    	 	 0.076	S1  	 	17.20	     	     	-21.1	1328	    	1668
      19	110.96	-28.35	000.2421	+33.3439	*	KAZ 238          	00 00 58.1	+33 20 38	O	      	    	     	    	 	 0.043	S2  	 	15.90	     	     	-21.2	1036	    	1037
      20	040.34	-78.50	000.2496	-25.0833	*	XMM J00009-2505  	00 00 59.9	-25 05 00	O	      	    	     	    	 	 0.850	S1  	R	21.90	     	     	-21.4	    	    	 674
      21	094.90	-62.36	000.2575	 -2.2617	*	WEE 188          	00 01 01.8	-02 15 42	 	      	    	     	    	*	 0.060	    	 	21.50	     	     	-16.3	    	    	2190
      22	085.19	-69.48	000.2592	-10.3908	*	SDSS J00010-1023 	00 01 02.2	-10 23 27	O	      	   1	     	    	 	 0.294	S1  	 	18.81	     	     	-22.5	    	    	   1
      23	040.86	-78.48	000.2600	-24.9803	*	XMM J00010-2458  	00 01 02.4	-24 58 49	O	      	    	     	    	 	 0.433	S1  	R	20.30	     	     	-21.4	    	    	 674
      24	007.66	-78.17	000.2825	-31.6147	*	2QZ J000107-3136 	00 01 07.8	-31 36 53	O	      	    	     	    	 	 0.654	S1  	*	20.80	     	-0.34	-22.3	    	 487	 487
      25	096.08	-61.20	000.2929	 -0.9808	*	SDSS J00011-0058 	00 01 10.3	-00 58 51	O	      	   2	     	    	 	 0.177	S1  	 	20.03	     	     	-20.2	    	    	   2
      26	027.54	-78.84	000.2950	-27.6172	*	2QZ J000110-2737 	00 01 10.8	-27 37 02	O	      	    	     	    	 	 0.567	S1  	*	20.47	     	-1.14	-22.3	    	 487	 487
      27	027.17	-78.86	000.3163	-27.6872	*	2QZ J000115-2741 	00 01 15.9	-27 41 14	O	      	    	     	    	 	 0.427	S1  	*	19.83	     	-0.55	-22.3	    	 489	 489
      28	015.72	-78.68	000.3650	-29.9206	*	CT 601           	00 01 27.6	-29 55 14	O	      	    	     	    	 	 0.380	    	 	19.20	     	     	-22.7	1333	    	1333
      29	098.00	-59.15	000.3725	 +1.2861	*	Q 2358+010       	00 01 29.4	+01 17 10	 	      	    	     	    	*	 0.370	    	 	19.50	     	     	-22.4	2357	    	2358
      30	024.07	-78.89	000.3750	-28.2853	*	2QZ J000130-2817 	00 01 30.0	-28 17 07	O	      	    	     	    	 	 0.326	S1  	*	19.74	     	-0.56	-21.8	    	 487	 487
      31	004.92	-78.09	000.4246	-32.1722	*	2QZ J000141-3210 	00 01 41.9	-32 10 20	O	      	    	     	    	 	 0.338	S1  	*	19.71	     	-0.66	-21.9	    	 489	 489
      32	086.18	-69.30	000.4562	-10.0475	*	SDSS J00018-1002 	00 01 49.5	-10 02 51	O	      	   1	     	    	 	 0.358	S1  	 	19.34	     	     	-22.4	    	    	   1
      33	097.32	-60.26	000.4763	 +0.1258	*	SDSS J00019+0007 	00 01 54.3	+00 07 33	O	      	   1	     	    	 	 0.140	S1  	 	19.79	     	     	-19.9	    	    	   1
      34	111.99	-25.17	000.4933	+36.6489	 	Zw 517.014       	00 01 58.4	+36 38 56	O	 0.027	 778	     	    	 	 0.032	S2  	 	15.40	     	     	-21.0	    	    	2324
      35	097.76	-59.83	000.5133	 +0.6078	*	SDSS J00020+0036 	00 02 03.2	+00 36 28	O	      	   2	     	    	 	 0.099	S1  	 	20.16	     	     	-18.7	    	    	   2
      36	096.32	-61.50	000.5142	 -1.2061	*	SDSS J00020-0112 	00 02 03.4	-01 12 22	O	      	   2	     	    	 	 0.248	S1  	 	20.77	     	     	-20.2	    	    	   2
      37	096.41	-61.49	000.5487	 -1.1786	*	SDSS J00021-0110 	00 02 11.7	-01 10 43	O	      	   2	     	    	 	 0.226	S1  	 	20.30	     	     	-20.4	    	    	   2
      38	084.85	-70.21	000.5771	-11.0658	*	SDSS J00023-1103 	00 02 18.5	-11 03 57	O	      	   1	     	    	 	 0.205	S1  	 	20.12	     	     	-20.4	    	    	   1
      39	097.90	-59.88	000.5996	 +0.5847	*	SDSS J00023+0035 	00 02 23.9	+00 35 05	O	      	   2	     	    	 	 0.141	S1  	 	20.14	     	     	-19.5	    	    	   2
      40	096.91	-61.06	000.6021	 -0.6914	*	CFHT 00.0207     	00 02 24.5	-00 41 29	O	      	    	     	    	 	 1.352	    	 	22.10	     	     	-22.9	1766	    	1766
      41	099.84	-57.31	000.6100	 +3.3517	 	MARK  543        	00 02 26.4	+03 21 06	O	      	 157	     	1452	 	 0.026	S1.5	 	14.68	 0.65	-0.09	-20.6	1279	2113	1615
      42	097.59	-60.30	000.6171	 +0.1397	*	SDSS J00024+0008 	00 02 28.1	+00 08 23	O	      	   2	     	    	 	 0.089	S1  	 	19.44	     	     	-19.2	    	    	   2
      43	098.23	-59.55	000.6288	 +0.9575	*	SDSS J00025+0057 	00 02 30.9	+00 57 27	O	      	   2	     	    	 	 0.265	S1  	 	20.79	     	     	-20.3	    	    	   2
      44	097.19	-60.86	000.6512	 -0.4567	*	SDSS J00026-0027 	00 02 36.3	-00 27 24	O	      	   1	     	    	 	 0.291	S1  	 	19.79	     	     	-21.5	    	    	   1
      45	087.81	-68.76	000.6654	 -9.2803	*	SDSS J00026-0916 	00 02 39.7	-09 16 49	O	      	   2	     	    	 	 0.104	S1  	 	19.72	     	     	-19.3	    	    	   2
      46	096.64	-61.54	000.6700	 -1.1817	*	SDSS J00026-0110 	00 02 40.8	-01 10 54	O	      	   2	     	    	 	 0.243	S1  	 	20.49	     	     	-20.4	    	    	   2
      47	096.98	-61.16	000.6725	 -0.7642	*	SDSS J00026-0045 	00 02 41.4	-00 45 51	O	      	   2	     	    	 	 0.140	S1  	 	20.35	     	     	-19.3	    	    	   2
      48	098.38	-59.48	000.6775	 +1.0500	*	SDSS J00027+0103 	00 02 42.6	+01 03 00	O	      	   2	     	    	 	 0.054	S1  	 	19.48	     	     	-18.1	    	    	   2
      49	097.10	-61.07	000.6892	 -0.6631	*	SDSS J00027-0039 	00 02 45.4	-00 39 47	O	      	   2	     	    	 	 0.247	S1  	 	20.32	     	     	-20.6	    	    	   2
      50	098.22	-59.77	000.7046	 +0.7511	 	SDSS J00028+0045 	00 02 49.1	+00 45 04	O	      	   1	     	    	 	 0.087	S1  	 	18.82	     	     	-19.8	    	    	   1
      51	028.51	-79.20	000.7075	-27.4356	*	2QZ J000249-2726 	00 02 49.8	-27 26 08	O	      	    	     	    	 	 0.366	S1  	*	20.57	     	-1.15	-21.3	    	 487	 487
      52	097.77	-60.34	000.7150	 +0.1336	*	SDSS J00028+0008 	00 02 51.6	+00 08 01	O	      	   1	     	    	 	 0.107	S1  	 	19.43	     	     	-19.6	    	    	   1
      53	088.17	-68.65	000.7217	 -9.1167	*	SDSS J00028-0907 	00 02 53.2	-09 07 00	O	      	   1	     	    	 	 0.460	S1  	 	19.55	     	     	-22.8	    	    	   1
      54	098.38	-59.62	000.7288	 +0.9186	*	SDSS J00029+0055 	00 02 54.9	+00 55 07	O	      	   2	     	    	 	 0.255	S1  	 	20.22	     	     	-20.8	    	    	   2
      55	088.37	-68.56	000.7392	 -9.0042	*	SDSS J00029-0900 	00 02 57.4	-09 00 15	O	      	   1	     	    	 	 0.517	S1  	 	19.76	     	     	-22.8	    	    	   1
      56	088.23	-68.67	000.7521	 -9.1267	*	SDSS J00030-0907 	00 03 00.5	-09 07 36	O	      	   2	     	    	 	 0.358	S1  	 	21.52	     	     	-20.3	    	    	   2
      57	085.51	-70.21	000.7625	-10.9386	*	SDSS J00030-1056 	00 03 03.0	-10 56 19	O	      	   1	     	    	 	 0.216	S1  	 	20.12	     	     	-20.5	    	    	   1
      58	093.97	-64.44	000.7667	 -4.3272	*	RXS J00031-0419  	00 03 04.0	-04 19 38	O	      	    	     	    	 	 0.106	S1n 	 	17.10	     	     	-22.0	2326	    	2326
      59	108.37	-39.54	000.7900	+21.9600	 	MARK  334        	00 03 09.6	+21 57 36	O	 0.011	 597	     	    	 	 0.022	S1.8	 	14.62	 0.68	-0.08	-20.3	1050	1570	1500
      60	101.02	-56.06	000.7921	 +4.7486	*	UM  16           	00 03 10.1	+04 44 55	O	      	    	     	    	 	 0.058	S2  	 	17.00	     	     	-20.7	1232	    	1841
      61	025.80	-79.30	000.8204	-27.9408	*	HE 0000-2813     	00 03 16.9	-27 56 27	O	      	    	     	    	 	 0.103	S1  	 	17.39	     	     	-21.6	    	    	2296
      62	098.46	-59.77	000.8225	 +0.7897	*	SDSS J00032+0047 	00 03 17.4	+00 47 23	O	      	   2	     	    	 	 0.106	S1  	 	19.71	     	     	-19.3	    	    	   2
      63	005.70	-78.51	000.8225	-31.8681	*	2QZ J000317-3152 	00 03 17.4	-31 52 05	O	      	    	     	    	 	 0.669	S1  	*	20.31	     	-0.64	-22.8	    	 487	 487
      64	098.54	-59.69	000.8296	 +0.8792	*	SDSS J00033+0052 	00 03 19.1	+00 52 45	O	      	   2	     	    	 	 0.117	S1  	 	19.97	     	     	-19.3	    	    	   2
      65	108.27	-40.00	000.8304	+21.4958	 	3EG J0003+2129   	00 03 19.3	+21 29 45	O	 0.293	 778	     	    	 	 0.450	S2  	 	21.10	     	     	-21.2	    	    	1885
      66	076.02	-74.10	000.8638	-15.7847	 	PKS 0000-160     	00 03 27.3	-15 47 05	R	 0.260	2157	 0.30	2157	 	 0.508	S   	 	22.60	     	     	-19.9	 983	    	 927
      67	086.11	-70.11	000.8838	-10.7447	*	NGC 7808         	00 03 32.1	-10 44 41	O	      	    	     	    	 	 0.029	S1  	 	15.40	     	     	-20.8	    	    	 455
      68	099.80	-58.19	000.9004	 +2.5136	*	Q 0001+0214      	00 03 36.1	+02 30 49	 	      	    	     	    	 	 0.232	    	R	21.23	     	     	-19.0	1795	    	1795
      69	097.83	-60.79	000.9083	 -0.2669	*	SDSS J00036-0016 	00 03 38.0	-00 16 01	O	      	   2	     	    	 	 0.061	S1  	 	20.14	     	     	-17.7	    	    	   2
      70	097.83	-60.80	000.9171	 -0.2803	*	SDSS J00036-0016 	00 03 40.1	-00 16 49	O	      	   2	     	    	 	 0.061	S1  	 	18.55	     	     	-19.3	    	    	   2
      71	086.64	-69.90	000.9217	-10.4694	*	SDSS J00036-1028 	00 03 41.2	-10 28 10	O	      	   2	     	    	 	 0.204	S1  	 	19.91	     	     	-20.6	    	    	   2
      72	020.30	-79.32	000.9325	-28.9561	*	2QZ J000343-2857 	00 03 43.8	-28 57 22	O	      	    	     	    	 	 0.478	S1  	*	20.34	     	-1.10	-22.1	    	 487	 487
      73	098.73	-59.76	000.9417	 +0.8547	*	SDSS J00037+0051 	00 03 46.0	+00 51 17	O	      	   2	     	    	 	 0.061	S1  	 	19.89	     	     	-17.9	    	    	   2
      74	098.49	-60.08	000.9479	 +0.5075	*	SDSS J00037+0030 	00 03 47.5	+00 30 27	O	      	   2	     	    	 	 0.194	S1  	 	20.46	     	     	-19.9	    	    	   2
      75	097.52	-61.26	000.9513	 -0.7569	*	SDSS J00038-0045 	00 03 48.3	-00 45 25	O	      	   2	     	    	 	 0.084	S1  	 	20.23	     	     	-18.3	    	    	   2
      76	021.03	-79.37	000.9658	-28.8183	*	2QZ J000351-2849 	00 03 51.8	-28 49 06	O	      	    	     	    	 	 0.649	S1  	*	20.66	     	-0.67	-22.4	    	 487	 487
      77	028.43	-79.44	000.9829	-27.4558	*	2QZ J000355-2727 	00 03 55.9	-27 27 21	O	      	    	     	    	 	 0.343	S1  	*	19.73	     	-0.99	-22.0	    	 487	 487
      78	022.72	-79.42	000.9929	-28.5031	*	2QZ J000358-2830 	00 03 58.3	-28 30 11	O	      	    	     	    	 	 0.573	S1  	*	20.74	     	-0.39	-22.0	    	 487	 487
      79	097.81	-61.05	001.0000	 -0.5103	*	BG CFH  2        	00 04 00.0	-00 30 37	 	      	    	     	    	 	 0.354	    	 	20.60	     	     	-21.2	 717	    	2128
      80	098.93	-59.71	001.0192	 +0.9389	*	SDSS J00040+0056 	00 04 04.6	+00 56 20	O	      	   2	     	    	 	 0.191	S1  	 	20.45	     	     	-19.9	    	    	   2
      81	097.59	-61.38	001.0275	 -0.8547	*	SDSS J00041-0051 	00 04 06.6	-00 51 17	O	      	   2	     	    	 	 0.293	S1  	 	20.28	     	     	-21.0	    	    	   2
      82	098.07	-60.82	001.0321	 -0.2542	*	SDSS J00041-0015 	00 04 07.7	-00 15 15	O	      	   2	     	    	 	 0.187	S1  	 	20.28	     	     	-20.0	    	    	   2
      83	114.30	-16.64	001.0396	+45.4403	 	RXS J00041+4526  	00 04 09.5	+45 26 25	 	      	 157	     	    	 	 0.120	S1  	 	16.90	     	     	-22.4	 157	    	 157
      84	086.49	-70.21	001.0450	-10.7575	*	SDSS J00041-1045 	00 04 10.8	-10 45 27	O	      	   1	     	    	 	 0.240	S1  	 	18.09	     	     	-22.8	    	    	   1
      85	097.66	-61.36	001.0529	 -0.8267	*	SDSS J00042-0049 	00 04 12.7	-00 49 36	O	      	   2	     	    	 	 0.160	S1  	 	19.87	     	     	-20.1	    	    	   2
      86	099.03	-59.75	001.0821	 +0.9161	*	SDSS J00043+0054 	00 04 19.7	+00 54 58	O	      	   1	     	    	 	 0.329	S1  	 	21.16	     	     	-20.4	    	    	   1
      87	087.56	-69.77	001.1262	-10.1914	*	SDSS J00045-1011 	00 04 30.3	-10 11 29	O	      	   1	     	    	 	 0.239	S1  	 	20.53	     	     	-20.3	    	    	   1
      88	099.62	-59.15	001.1454	 +1.5822	*	Q 0002+0118A     	00 04 34.9	+01 34 56	 	      	    	     	    	 	 0.087	    	R	19.88	     	     	-18.2	1795	    	1795
      89	087.71	-69.76	001.1638	-10.1525	*	SDSS J00046-1009 	00 04 39.3	-10 09 09	O	      	   2	     	    	 	 0.108	S1  	 	19.41	     	     	-19.7	    	    	   2
      90	098.69	-60.49	001.1942	 +0.1625	*	SDSS J00047+0009 	00 04 46.6	+00 09 45	O	      	   2	     	    	 	 0.788	S1  	 	22.29	     	     	-21.3	    	    	   2
      91	004.63	-78.77	001.1996	-31.9672	*	2QZ J000447-3158 	00 04 47.9	-31 58 02	O	      	    	     	    	 	 0.638	S1  	*	20.74	     	-0.43	-22.3	    	 487	 487
      92	098.72	-60.52	001.2167	 +0.1447	*	SDSS J00048+0008 	00 04 52.0	+00 08 41	O	      	   2	     	    	 	 0.187	S1  	 	20.54	     	     	-19.8	    	    	   2
      93	099.24	-59.87	001.2229	 +0.8383	*	SDSS J00048+0050 	00 04 53.5	+00 50 18	O	      	   2	     	    	 	 0.139	S1  	 	19.86	     	     	-19.8	    	    	   2
      94	099.38	-59.70	001.2233	 +1.0306	*	SDSS J00048+0101 	00 04 53.6	+01 01 50	O	      	   2	     	    	 	 0.295	S1  	 	20.96	     	     	-20.4	    	    	   2
      95	098.77	-60.49	001.2262	 +0.1797	*	SDSS J00049+0010 	00 04 54.3	+00 10 47	O	      	   2	     	    	 	 0.095	S1  	 	20.26	     	     	-18.6	    	    	   2
      96	098.70	-60.59	001.2308	 +0.0769	*	SDSS J00049+0004 	00 04 55.4	+00 04 37	O	      	   2	     	    	 	 0.063	S1  	 	20.02	     	     	-17.9	    	    	   2
      97	105.23	-49.57	001.2442	+11.7011	*	UGC    32        	00 04 58.6	+11 42 04	O	      	    	     	    	 	 0.074	S1.9	 	17.00	     	     	-21.3	 157	    	 197
      98	332.84	-72.52	001.2675	-41.8081	*	MS 00025-4205    	00 05 04.2	-41 48 29	 	      	1960	     	    	 	 0.154	S1  	 	17.90	     	     	-22.0	1235	    	1960
      99	099.47	-59.78	001.2975	 +0.9722	*	SDSS J00051+0058 	00 05 11.4	+00 58 20	O	      	   2	     	    	 	 0.363	S1  	 	20.01	     	     	-21.8	    	    	   2
     100	099.54	-59.69	001.2987	 +1.0606	*	SDSS J00051+0103 	00 05 11.7	+01 03 38	O	      	   2	     	    	 	 0.103	S1  	 	19.98	     	     	-19.0	    	    	   2
     101	098.82	-60.63	001.3021	 +0.0597	*	SDSS J00052+0003 	00 05 12.5	+00 03 35	O	      	   2	     	    	 	 0.214	S1  	 	20.61	     	     	-20.0	    	    	   2
     102	334.36	-73.16	001.3067	-41.0303	*	HE 0002-4118     	00 05 13.6	-41 01 49	O	      	    	     	    	 	 0.114	S1  	 	17.36	     	     	-21.9	    	    	2296
     103	099.92	-59.21	001.3129	 +1.5814	*	Q 0002+0118B     	00 05 15.1	+01 34 53	 	      	    	     	    	 	 0.022	    	R	17.78	     	     	-17.3	1795	    	1795
     104	020.48	-79.67	001.3188	-28.8817	*	2QZ J000516-2852 	00 05 16.5	-28 52 54	O	      	    	     	    	 	 0.704	S1  	*	20.35	     	-0.64	-22.9	    	 487	 487
     105	020.84	-79.68	001.3213	-28.8172	*	2QZ J000517-2849 	00 05 17.1	-28 49 02	O	      	    	     	    	 	 0.248	S1  	*	19.54	     	-0.36	-21.4	    	 489	 489
     106	098.39	-61.24	001.3321	 -0.5883	*	BG CFH 10        	00 05 19.7	-00 35 18	O	      	    	     	    	 	 0.440	    	O	19.30	     	     	-22.9	 717	    	1645
     107	331.57	-72.09	001.3513	-42.3803	*	                 	00 05 24.3	-42 22 49	 	      	    	     	    	 	 0.120	    	 	20.10	     	     	-19.2	 917	    	1474
     108	097.96	-61.84	001.3608	 -1.2144	*	SDSS J00054-0112 	00 05 26.6	-01 12 52	O	      	   1	     	    	 	 0.324	S1  	 	20.75	     	     	-20.8	    	    	   1
     109	019.09	-79.69	001.3850	-29.1267	*	2QZ J000532-2907 	00 05 32.4	-29 07 36	O	      	    	     	    	 	 0.310	S1  	*	19.59	     	-0.36	-21.9	    	 487	 487
