#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9010
#Name: IX/10A
#Title:	ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title:	The 1RXS catalogue
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F9.6)	Distance from center (RAJ2000=308.20000, DEJ2000=+41.00000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F9.5)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F9.5)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	1RXS	(A21)	ROSAT All-Sky Survey Catalogue source name (1)        (link)	[ucd=ID_MAIN]
#Column	RAJ2000	(F9.5)	Right ascension (J2000), decimal degrees	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F9.5)	Declination (J2000), decimal degrees	[ucd=POS_EQ_DEC_MAIN]
#Column	PosErr	(I2)	? Total positional error (including 6" systematic error)	[ucd=ERROR]
#Column	NewFlag	(A4)	[T._] 'new data' flags (3)	[ucd=CODE_MISC]
#Column	Count	(E9.2)	? Source countrate (4)	[ucd=PHOT_COUNT-RATE_X]
#Column	e_Count	(E9.2)	? Error on Count (4)	[ucd=ERROR]
#Column	HR1	(F5.2)	[-1/1]? Hardness ratio 1 (5)	[ucd=SPECT_HARDNESS-RATIO]
#Column	e_HR1	(F5.2)	? Error on HR1 (6)	[ucd=ERROR]
#Column	HR2	(F5.2)	[-1/1]? hardness ratio 2 (5)	[ucd=SPECT_HARDNESS-RATIO]
#Column	e_HR2	(F5.2)	? Error on HR2 (6)	[ucd=ERROR]
#Column	SASS	(I8)	Identification number of SASS field (12)	[ucd=ID_FIELD]
#Column	MASOL	(I4)	SASS source number (MASOL number) in SASS field (mainly for internal use)	[ucd=ID_NUMBER]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	1RXS	RAJ2000	DEJ2000	PosErr	NewFlag	Count	e_Count	HR1	e_HR1	HR2	e_HR2	SASS	MASOL
   16251	 8.050656	072.52	-02.51	306.01166	+33.14014	1RXS J202402.8+330824	306.01166	+33.14014	11	__..	 8.99e-02	 1.35e-02	-0.21	 0.14	 0.13	 0.22	33011047	0108
   16093	 7.402124	072.65	+02.06	301.48877	+35.78556	1RXS J200557.3+354708	301.48877	+35.78556	 8	__..	 1.24e-01	 1.56e-02	 0.96	 0.04	 0.57	 0.10	33011047	0043
   16096	 7.209791	072.85	+02.09	301.59085	+35.97222	1RXS J200621.8+355820	301.59085	+35.97222	 7	__..	 3.36e-01	 2.45e-02	-0.27	 0.07	-0.13	 0.11	33011047	0036
   15956	 8.337790	073.13	+05.53	298.10709	+38.00403	1RXS J195225.7+380014	298.10709	+38.00403	12	__..	 9.21e-02	 1.70e-02	 1.00	 0.12	 0.40	 0.17	33010044	0259
   15992	 7.781325	073.19	+04.58	299.17041	+37.56694	1RXS J195640.9+373401	299.17041	+37.56694	16	__..	 1.37e-01	 1.91e-02	 0.70	 0.11	 0.34	 0.14	33010044	0268
   15935	 8.623200	073.21	+06.11	297.52167	+38.36542	1RXS J195005.2+382155	297.52167	+38.36542	10	__..	 6.48e-02	 1.32e-02	 0.88	 0.11	-0.01	 0.21	33010043	0120
   16274	 7.376327	073.34	-02.67	306.74374	+33.71472	1RXS J202658.5+334253	306.74374	+33.71472	 9	__..	 5.51e-02	 1.04e-02	 1.00	 0.09	 0.74	 0.12	33011047	0093
   16100	 6.510090	073.65	+02.43	301.77417	+36.82570	1RXS J200705.8+364932	301.77417	+36.82570	 9	__..	 6.40e-02	 1.09e-02	-0.13	 0.17	-0.86	 0.33	33010044	0294
   16316	 7.466006	073.71	-03.48	307.78168	+33.54139	1RXS J203107.6+333229	307.78168	+33.54139	10	__..	 1.08e-01	 1.53e-02	-0.25	 0.12	-0.31	 0.22	33011048	0305
   16255	 6.442366	073.90	-01.62	306.09250	+34.77542	1RXS J202422.2+344631	306.09250	+34.77542	13	__..	 5.21e-02	 9.48e-03	 0.38	 0.20	-0.07	 0.21	33011047	0068
   16081	 5.879318	074.84	+03.64	301.29041	+38.47736	1RXS J200509.7+382838	301.29041	+38.47736	 7	__..	 5.27e-01	 2.84e-02	-0.09	 0.05	-0.18	 0.08	33010044	0235
   16389	 7.156727	075.00	-04.53	309.73001	+33.94667	1RXS J203855.2+335648	309.73001	+33.94667	 8	__..	 2.06e-01	 1.99e-02	 0.72	 0.07	 0.24	 0.10	33011048	0213
   16023	 6.462955	075.16	+05.04	299.96542	+39.48458	1RXS J195951.7+392904	299.96542	+39.48458	12	__..	 7.02e-02	 1.27e-02	 0.11	 0.17	-0.03	 0.24	33010044	0212
   16189	 4.705402	075.24	+01.11	304.25168	+37.42333	1RXS J201700.4+372524	304.25168	+37.42333	18	__..	 6.12e-02	 1.07e-02	 1.00	 0.11	 0.26	 0.18	33010044	0273
   15962	 7.533375	075.33	+06.65	298.28000	+40.45389	1RXS J195307.2+402714	298.28000	+40.45389	38	__..	 6.09e-02	 1.28e-02	 0.36	 0.29	 0.47	 0.40	33010044	0145
   16147	 4.861190	075.38	+02.41	302.97876	+38.26583	1RXS J201154.9+381557	302.97876	+38.26583	37	__..	 5.58e-02	 1.16e-02	 0.62	 0.32	-0.64	 0.21	33010044	0248
   15948	 7.823398	075.41	+07.07	297.85458	+40.73472	1RXS J195125.1+404405	297.85458	+40.73472	10	__..	 5.71e-02	 1.14e-02	-0.22	 0.21	-0.94	 0.21	33010044	0138
   16262	 4.718620	075.42	-00.74	306.28833	+36.52264	1RXS J202509.2+363121	306.28833	+36.52264	11	__..	 5.91e-02	 1.05e-02	 0.77	 0.14	 0.07	 0.19	33011047	0010
   16142	 4.863317	075.44	+02.56	302.85709	+38.39875	1RXS J201125.7+382355	302.85709	+38.39875	11	__..	 6.50e-02	 1.18e-02	-0.24	 0.16	-0.13	 0.27	33010044	0241
   16178	 4.290480	075.75	+01.67	304.02292	+38.16236	1RXS J201605.5+380944	304.02292	+38.16236	10	__..	 9.54e-02	 1.34e-02	 0.04	 0.13	-0.03	 0.19	33010044	0252
   16494	 8.156725	075.80	-06.37	312.05542	+33.44056	1RXS J204813.3+332626	312.05542	+33.44056	25	__..	 9.07e-02	 1.36e-02	 0.54	 0.17	 0.23	 0.22	33011048	0334
   15928	 8.169286	075.97	+07.82	297.34793	+41.58931	1RXS J194923.5+413521	297.34793	+41.58931	 8	__..	 2.45e-01	 2.14e-02	-0.28	 0.08	-0.09	 0.14	33010043	0023
   16018	 6.302844	076.19	+05.75	299.86960	+40.73486	1RXS J195928.7+404405	299.86960	+40.73486	 8	_T..	 9.47e-01	 3.82e-02	 0.99	 0.00	 0.67	 0.03	33010044	0140
   16226	 3.328378	076.62	+01.10	305.24625	+38.56514	1RXS J202059.1+383354	305.24625	+38.56514	11	__..	 5.10e-02	 9.72e-03	 0.53	 0.17	-0.06	 0.22	33010045	0244
   16156	 3.852291	077.00	+03.18	303.29166	+40.03944	1RXS J201310.0+400222	303.29166	+40.03944	 7	__..	 7.40e-01	 3.59e-02	-0.95	 0.02	-1.00	 0.74	33010044	0186
   16326	 3.363551	077.15	-01.24	308.06583	+37.63805	1RXS J203215.8+373817	308.06583	+37.63805	 8	__..	 5.39e-01	 2.93e-02	 0.98	 0.01	 0.95	 0.01	33010045	0269
   16497	 6.380794	077.35	-05.17	312.08749	+35.39611	1RXS J204821.0+352346	312.08749	+35.39611	14	__..	 5.30e-02	 1.06e-02	 0.46	 0.18	-0.12	 0.24	33011048	0051
   16141	 4.056235	077.51	+03.93	302.83167	+40.88194	1RXS J201119.6+405255	302.83167	+40.88194	29	_T..	 1.37e-01	 1.97e-02	 1.00	 0.13	 0.11	 0.30	33010044	0124
   16499	 5.991516	077.73	-04.91	312.12915	+35.85764	1RXS J204831.0+355127	312.12915	+35.85764	19	__..	 6.51e-02	 1.17e-02	-0.03	 0.21	-0.02	 0.30	33011048	0042
   16635	 9.087568	078.07	-08.23	315.50708	+33.99236	1RXS J210201.7+335932	315.50708	+33.99236	10	__..	 1.33e-01	 2.39e-02	-0.85	 0.09	-0.33	 0.58	33011049	0075
   16581	 7.677251	078.47	-06.87	314.56082	+35.17361	1RXS J205814.6+351025	314.56082	+35.17361	 8	__..	 1.43e-01	 1.57e-02	 0.57	 0.10	-0.07	 0.12	33011049	0040
   16661	 9.141694	078.49	-08.36	315.95331	+34.21847	1RXS J210348.8+341306	315.95331	+34.21847	 8	__..	 1.06e-01	 1.36e-02	 0.65	 0.11	 0.28	 0.14	33011049	0067
   15890	 9.648238	078.71	+10.24	296.24582	+45.13097	1RXS J194459.0+450751	296.24582	+45.13097	 8	__..	 8.69e-02	 1.18e-02	 0.17	 0.13	 0.10	 0.18	33009040	0090
   16551	 6.416344	078.79	-05.65	313.66000	+36.20430	1RXS J205438.4+361215	313.66000	+36.20430	23	_T..	 8.08e-02	 1.27e-02	 0.94	 0.13	 0.34	 0.21	33011048	0028
   15971	 7.911402	078.86	+08.51	298.47791	+44.41514	1RXS J195354.7+442454	298.47791	+44.41514	 7	__..	 1.98e-01	 1.70e-02	-0.37	 0.08	-0.18	 0.15	33009040	0106
   16694	 9.309883	079.00	-08.60	316.56958	+34.44194	1RXS J210616.7+342631	316.56958	+34.44194	17	__..	 1.67e-01	 1.83e-02	 0.92	 0.05	 0.42	 0.14	33011049	0060
   16713	 9.521078	079.13	-08.82	316.88000	+34.39250	1RXS J210731.2+342333	316.88000	+34.39250	10	__..	 1.24e-01	 1.55e-02	 0.30	 0.12	 0.06	 0.16	33011049	0061
   16113	 5.394550	079.74	+06.06	302.03125	+43.89958	1RXS J200807.5+435358	302.03125	+43.89958	 8	__..	 1.06e-01	 1.28e-02	 0.42	 0.11	 0.21	 0.13	33009041	0166
   16329	 0.080978	079.85	+00.70	308.10916	+40.95694	1RXS J203226.2+405725	308.10916	+40.95694	 7	__..	 2.85e+00	 6.49e-02	 0.98	 0.00	 0.99	 0.00	33010045	0121
   16267	 1.611990	079.86	+02.28	306.41211	+41.89597	1RXS J202538.9+415345	306.41211	+41.89597	 9	__..	 5.31e-02	 1.00e-02	 0.13	 0.19	-0.40	 0.23	33010045	0027
   16332	 0.236655	080.10	+00.83	308.17166	+41.23569	1RXS J203241.2+411408	308.17166	+41.23569	23	__..	 8.97e-02	 1.28e-02	 1.00	 0.08	 0.95	 0.13	33010045	0075
   16328	 0.309032	080.12	+00.91	308.10001	+41.29972	1RXS J203224.0+411759	308.10001	+41.29972	16	__..	 2.06e-01	 1.82e-02	 0.93	 0.04	 0.73	 0.06	33010045	0069
   16336	 0.241075	080.15	+00.75	308.28915	+41.23153	1RXS J203309.4+411353	308.28915	+41.23153	18	__..	 7.36e-02	 1.10e-02	 0.88	 0.15	 0.96	 0.07	33010045	0076
   16339	 0.325375	080.22	+00.79	308.31583	+41.31347	1RXS J203315.8+411848	308.31583	+41.31347	 7	__..	 2.90e-01	 2.07e-02	 1.00	 0.01	 0.68	 0.05	33010045	0065
   16740	 9.032921	080.28	-08.36	317.38541	+35.54583	1RXS J210932.5+353245	317.38541	+35.54583	 8	__..	 3.72e-01	 3.89e-02	 0.98	 0.03	 0.33	 0.09	33011049	0032
   15943	 9.294486	080.44	+09.95	297.78918	+46.48180	1RXS J195109.4+462854	297.78918	+46.48180	 8	__..	 9.80e-02	 1.20e-02	-0.25	 0.11	-0.27	 0.18	33009040	0050
   16557	 4.986374	080.68	-04.26	313.84711	+38.54236	1RXS J205523.3+383232	313.84711	+38.54236	 9	__..	 9.71e-02	 1.31e-02	 0.72	 0.10	 0.31	 0.13	33010046	0112
   16222	 3.648085	080.93	+04.17	305.11874	+43.85305	1RXS J202028.5+435111	305.11874	+43.85305	 7	__..	 8.40e-01	 3.27e-02	 0.98	 0.00	 0.59	 0.03	33009041	0167
   16385	 1.190225	080.97	+00.11	309.63293	+41.50611	1RXS J203831.9+413022	309.63293	+41.50611	 8	__..	 8.64e-02	 1.17e-02	 0.43	 0.13	 0.02	 0.16	33010045	0042
   15946	 9.781976	081.25	+10.36	297.82709	+47.37625	1RXS J195118.5+472234	297.82709	+47.37625	 9	__..	 7.45e-02	 1.05e-02	-0.14	 0.13	-0.24	 0.19	33009040	0025
   16357	 1.428275	081.25	+01.20	308.68958	+42.38070	1RXS J203445.5+422250	308.68958	+42.38070	10	__..	 5.45e-02	 1.02e-02	 0.43	 0.18	 0.29	 0.20	33009042	0173
   16167	 5.197145	081.35	+05.67	303.70584	+45.02875	1RXS J201449.4+450143	303.70584	+45.02875	 7	__..	 5.49e-01	 2.64e-02	 0.49	 0.04	 0.23	 0.05	33009041	0133
   16435	 1.922032	081.36	-00.60	310.70416	+41.37847	1RXS J204249.0+412242	310.70416	+41.37847	10	__..	 9.91e-02	 1.28e-02	-0.22	 0.12	-0.02	 0.20	33010045	0053
   16747	 8.036719	081.78	-07.15	317.52124	+37.45750	1RXS J211005.1+372727	317.52124	+37.45750	11	__..	 1.08e-01	 1.62e-02	 0.00	 0.14	-0.13	 0.19	33010046	0146
   16428	 2.283145	082.16	+00.23	310.48416	+42.52000	1RXS J204156.2+423112	310.48416	+42.52000	11	__..	 5.72e-02	 9.51e-03	-0.01	 0.17	-0.44	 0.21	33009042	0168
   16699	 6.914015	082.31	-05.82	316.71750	+38.73792	1RXS J210652.2+384416	316.71750	+38.73792	 8	__..	 4.22e-01	 3.00e-02	-0.72	 0.04	-0.48	 0.16	33010046	0103
   16150	 6.632007	082.31	+06.86	303.02625	+46.48236	1RXS J201206.3+462856	303.02625	+46.48236	 8	__..	 2.34e-01	 1.66e-02	 0.96	 0.02	 0.54	 0.06	33009041	0054
   16605	 5.265203	082.44	-03.96	315.02127	+40.07153	1RXS J210005.1+400417	315.02127	+40.07153	 7	__..	 1.01e+00	 4.06e-02	-0.23	 0.03	-0.12	 0.06	33010046	0069
   16794	 8.613954	082.85	-07.43	318.69751	+38.04250	1RXS J211447.4+380233	318.69751	+38.04250	 8	__..	 2.40e-01	 2.49e-02	-0.44	 0.08	-0.38	 0.17	33010047	0177
   16686	 6.392407	082.99	-04.94	316.45749	+39.82972	1RXS J210549.8+394947	316.45749	+39.82972	12	__..	 7.99e-02	 1.34e-02	 0.65	 0.14	 0.39	 0.17	33010046	0077
   16085	 8.807663	083.32	+08.80	301.37875	+48.36153	1RXS J200530.9+482141	301.37875	+48.36153	10	__..	 7.10e-02	 9.94e-03	 0.93	 0.06	 0.05	 0.14	33008036	0214
   16487	 3.579847	083.41	-00.13	311.93332	+43.27056	1RXS J204744.0+431614	311.93332	+43.27056	 8	__..	 8.86e-02	 1.26e-02	 0.48	 0.12	 0.21	 0.15	33009042	0150
   16873	 9.933196	083.43	-08.63	320.29333	+37.63278	1RXS J212110.4+373758	320.29333	+37.63278	10	__..	 6.32e-02	 1.37e-02	 0.50	 0.21	 0.23	 0.27	33010047	0192
   16651	 5.746455	083.59	-03.75	315.82001	+41.06944	1RXS J210316.8+410410	315.82001	+41.06944	13	__..	 8.68e-02	 1.52e-02	-0.34	 0.14	-0.27	 0.25	33010046	0044
   16538	 4.233340	083.79	-01.06	313.24002	+42.97375	1RXS J205257.6+425825	313.24002	+42.97375	 8	__..	 1.33e-01	 1.59e-02	-0.02	 0.11	-0.24	 0.16	33009042	0158
   16249	 6.132959	083.81	+05.42	305.97333	+46.92056	1RXS J202353.6+465514	305.97333	+46.92056	12	__..	 5.18e-02	 1.07e-02	 0.14	 0.20	-0.07	 0.31	33009041	0036
   16731	 6.869405	083.85	-04.97	317.23874	+40.44653	1RXS J210857.3+402647	317.23874	+40.44653	 9	__..	 6.81e-02	 1.21e-02	 1.00	 0.06	 0.57	 0.14	33010046	0061
   16391	 4.357884	083.97	+02.28	309.76208	+45.20625	1RXS J203902.9+451222	309.76208	+45.20625	13	__..	 6.76e-02	 1.20e-02	 1.00	 0.16	 0.34	 0.19	33009042	0111
   16741	 7.022539	083.99	-05.05	317.45001	+40.49556	1RXS J210948.0+402944	317.45001	+40.49556	18	__..	 1.01e-01	 1.45e-02	 0.75	 0.12	 0.10	 0.16	33010046	0059
   16798	 8.127751	084.07	-06.32	318.73126	+39.68875	1RXS J211455.5+394119	318.73126	+39.68875	11	__..	 9.08e-02	 1.38e-02	 0.04	 0.15	 0.00	 0.23	33010047	0100
   16333	 5.848759	084.64	+04.13	308.21417	+46.84875	1RXS J203251.4+465055	308.21417	+46.84875	10	__..	 5.06e-02	 9.53e-03	 0.14	 0.19	-0.15	 0.24	33009042	0046
   16539	 4.848882	084.67	-00.33	313.24084	+44.12125	1RXS J205257.8+440716	313.24084	+44.12125	12	__..	 7.90e-02	 1.61e-02	 0.54	 0.17	 0.32	 0.21	33009042	0132
   16779	 7.735338	084.70	-05.42	318.43124	+40.75570	1RXS J211343.5+404520	318.43124	+40.75570	 9	__..	 6.31e-02	 1.21e-02	 1.00	 0.08	 0.68	 0.17	33010046	0052
   16560	 5.125384	084.81	-00.88	313.95584	+43.87125	1RXS J205549.4+435216	313.95584	+43.87125	14	__..	 8.20e-02	 1.50e-02	 0.92	 0.09	 0.83	 0.12	33009042	0137
   16366	 5.869362	084.88	+03.81	308.80292	+46.85333	1RXS J203512.7+465112	308.80292	+46.85333	 8	__..	 8.43e-02	 1.10e-02	 1.00	 0.09	 0.75	 0.12	33009042	0047
   16545	 5.144568	084.98	-00.28	313.47375	+44.38556	1RXS J205353.7+442308	313.47375	+44.38556	 7	__..	 1.62e+00	 7.51e-02	 0.27	 0.04	 0.23	 0.05	33009042	0122
   16591	 5.699573	085.31	-01.18	314.72876	+44.06083	1RXS J205854.9+440339	314.72876	+44.06083	11	__..	 8.83e-02	 1.56e-02	 0.67	 0.14	 0.20	 0.19	33009042	0133
   16871	 9.160362	085.37	-06.71	320.25668	+40.34570	1RXS J212101.6+402044	320.25668	+40.34570	 7	__..	 7.29e-01	 3.78e-02	-0.23	 0.05	-0.08	 0.08	33010047	0085
   16183	 9.343999	085.58	+08.12	304.08041	+49.88972	1RXS J201619.3+495323	304.08041	+49.88972	10	__..	 8.66e-02	 1.03e-02	 0.97	 0.04	 0.44	 0.10	33008037	0148
   16301	 7.445129	085.60	+05.50	307.39667	+48.42333	1RXS J202935.2+482524	307.39667	+48.42333	12	_T..	 6.65e-02	 1.07e-02	-0.10	 0.15	-0.25	 0.22	33008037	0205
   16850	 8.761850	085.76	-05.87	319.83331	+41.20764	1RXS J211920.0+411227	319.83331	+41.20764	10	__..	 9.70e-02	 1.41e-02	 0.87	 0.07	 0.33	 0.14	33010047	0053
   16529	 5.870069	085.79	+00.93	312.88458	+45.78514	1RXS J205132.3+454706	312.88458	+45.78514	 9	__..	 5.20e-02	 1.06e-02	 0.41	 0.20	 0.19	 0.24	33009042	0090
   16915	 9.906138	086.03	-07.14	321.27292	+40.50639	1RXS J212505.5+403023	321.27292	+40.50639	19	__..	 5.30e-02	 1.13e-02	-0.40	 0.22	 0.92	 0.58	33010047	0077
   16278	 8.431235	086.13	+06.38	306.77042	+49.37125	1RXS J202704.9+492216	306.77042	+49.37125	13	__..	 9.29e-02	 1.12e-02	-0.37	 0.10	 0.11	 0.18	33008037	0163
   16893	 9.530847	086.35	-06.38	320.86041	+41.26708	1RXS J212326.5+411601	320.86041	+41.26708	 9	__..	 1.09e-01	 1.37e-02	 0.63	 0.10	 0.41	 0.13	33010047	0051
   16537	 6.701560	086.59	+01.33	313.18207	+46.66014	1RXS J205243.7+463936	313.18207	+46.66014	 7	__..	 4.37e-01	 2.68e-02	-1.00	 0.01	 0.00	 0.00	33009042	0053
   16610	 6.801084	086.62	-00.48	315.20377	+45.50528	1RXS J210048.9+453019	315.20377	+45.50528	13	__..	 3.48e-01	 4.25e-02	 0.10	 0.12	-0.27	 0.15	33009043	0136
   16456	 7.278234	086.74	+03.22	311.16333	+47.96597	1RXS J204439.2+475757	311.16333	+47.96597	10	__..	 5.79e-02	 1.07e-02	-0.13	 0.18	-0.26	 0.27	33008038	0208
   16923	 9.946966	086.75	-06.58	321.42252	+41.40639	1RXS J212541.4+412423	321.42252	+41.40639	 8	__..	 1.35e-01	 1.55e-02	 1.00	 0.03	 0.11	 0.11	33010047	0047
   16899	 9.598940	087.12	-05.69	320.94043	+42.29986	1RXS J212345.7+421759	320.94043	+42.29986	11	__..	 8.82e-02	 1.24e-02	 1.00	 0.05	 0.68	 0.12	33009043	0284
   16642	 7.294708	087.13	-00.48	315.67252	+45.88486	1RXS J210241.4+455305	315.67252	+45.88486	 8	__..	 1.71e-01	 2.13e-02	-0.43	 0.10	-0.20	 0.21	33009043	0114
   16271	 9.918524	087.31	+07.31	306.63043	+50.85889	1RXS J202631.3+505132	306.63043	+50.85889	 7	__..	 3.65e-01	 2.04e-02	-0.25	 0.05	-0.07	 0.08	33008037	0107
   16759	 8.111621	087.50	-02.22	317.86667	+44.99236	1RXS J211128.0+445932	317.86667	+44.99236	11	_T..	 8.82e-02	 1.44e-02	-0.69	 0.12	-0.47	 0.34	33009043	0162
   16838	 8.905724	087.61	-03.84	319.60834	+43.94320	1RXS J211826.0+435635	319.60834	+43.94320	 9	__..	 5.80e-02	 1.03e-02	 0.84	 0.12	-0.15	 0.18	33009043	0219
   16801	 8.601825	087.72	-02.97	318.84586	+44.62736	1RXS J211523.0+443738	318.84586	+44.62736	10	__..	 6.88e-02	 1.17e-02	 0.13	 0.17	 0.38	 0.24	33009043	0186
   16534	 8.114535	087.84	+02.44	313.09961	+48.33292	1RXS J205223.9+481958	313.09961	+48.33292	12	__..	 5.16e-02	 1.00e-02	 0.05	 0.18	 0.10	 0.25	33008038	0189
