#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-02-24T16:31:30
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml10681

#RESOURCE=7235
#Name: VII/235
#Title:	Quasars and Active Galactic Nuclei (11th Ed.) (Veron+, 2003)
#Table	VII_235_table1:
#Name: VII/235/table1
#Title:	Quasars (brighter than absolute magnitude -23)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	notRadio	(A1)	[*] '*' if not detected in radio (1)	[ucd=CODE_MISC]
#Column	Name	(A17)	Most common name of the object        (link)	[ucd=ID_IDENTIFIER]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (see also n_RAh)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(A9)	Declination J2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_RAh	(A1)	[AOR] Approximative/Optical/Radio position (2)	[ucd=NOTE]
#Column	F6cm	(F6.3)	? 6cm (5GHz) flux	[ucd=PHOT_FLUX_RADIO_5G]
#Column	r_F6cm	(I4)	[1,2377]? Reference of 6cm Flux        (link)	[ucd=REFER_CODE]
#Column	F11cm	(F5.2)	? 11cm (2.7GHz) flux (Jy)	[ucd=PHOT_FLUX_RADIO_2.7G]
#Column	r_F11cm	(I4)	[1,2377]? Reference of 11cm flux        (link)	[ucd=REFER_CODE]
#Column	l_z	(A1)	[>*] limit or method flag on z (4)	[ucd=CODE_LIMIT]
#Column	z	(F6.3)	? redshift	[ucd=REDSHIFT_HC]
#Column	Sp	(A4)	[S0-9?HPBLbhin. ] Spectrum classification (3)	[ucd=SPECT_TYPE_GENERAL]
#Column	n_Vmag	(A1)	[*RIO] Photographic(*), red(R), infra-red (I) or photographic O- or J- plates(O)	[ucd=NOTE]
#Column	Vmag	(F5.2)	? magnitude, V or other (see n_Vmag)	[ucd=PHOT_JHN_V]
#Column	B-V	(F5.2)	? colour index	[ucd=PHOT_JHN_B-V]
#Column	U-B	(F5.2)	? colour index	[ucd=PHOT_JHN_U-B]
#Column	Mabs	(F5.1)	? Absolute magnitude	[ucd=PHOT_ABS-MAG_BAND]
#Column	FC	(I4)	[1,2377]? Reference of the Finding Chart	[ucd=REFER_CODE]
#Column	r_Vmag	(I4)	[1,2377]? Reference of the Photometry        (link)	[ucd=REFER_CODE]
#Column	r_z	(I4)	[1,2377]? Reference of the redshift        (link)	[ucd=REFER_CODE]

recno	_Glon	_Glat	_RAJ2000	_DEJ2000	notRadio	Name	RAJ2000	DEJ2000	n_RAh	F6cm	r_F6cm	F11cm	r_F11cm	l_z	z	Sp	n_Vmag	Vmag	B-V	U-B	Mabs	FC	r_Vmag	r_z
      17	007.36	-77.95	000.0679	-31.7439	*	2QZ J000016-3144 	00 00 16.3	-31 44 38	O	      	    	     	    	 	 1.452	    	*	19.08	     	-1.08	-26.1	    	 487	 487
      18	087.06	-68.09	000.0729	 -8.8564	 	FIRST J00002-0851	00 00 17.5	-08 51 23	O	      	 165	     	    	 	 1.250	    	 	18.93	     	     	-25.8	    	    	 165
      19	004.64	-77.75	000.0842	-32.3503	 	PKS 2357-326     	00 00 20.2	-32 21 01	O	 0.320	1835	 0.54	1835	 	 1.275	    	 	18.70	     	     	-25.8	1564	1261	1751
      20	094.41	-62.46	000.0954	 -2.4542	*	Q 2357-027       	00 00 22.9	-02 27 15	 	      	    	     	    	*	 0.590	    	 	18.00	     	     	-24.8	2359	    	2359
      21	039.59	-78.39	000.0954	-25.2061	*	XMM J00003-2512  	00 00 22.9	-25 12 22	O	      	    	     	    	 	 1.610	S1  	R	19.70	     	     	-25.2	    	    	 674
      22	098.18	-58.19	000.0988	 +2.2114	*	Q 2357+019A      	00 00 23.7	+02 12 41	 	      	    	     	    	*	 0.810	    	 	17.00	     	     	-26.8	2357	    	2358
      23	026.27	-78.66	000.1004	-27.8647	*	6QZ J000024-2751 	00 00 24.1	-27 51 53	O	      	    	     	    	 	 0.451	    	*	17.77	     	-0.82	-24.5	    	 489	 489
      24	080.68	-71.32	000.1017	-12.7633	 	PHL 2525         	00 00 24.4	-12 45 48	O	      	    	     	    	 	 0.200	    	 	15.49	     	-1.14	-25.0	1158	1158	1158
      25	011.47	-78.25	000.1033	-30.8469	*	2QZ J000024-3050 	00 00 24.8	-30 50 49	O	      	    	     	    	 	 1.465	    	*	20.59	     	-0.15	-24.6	    	 487	 487
      26	005.83	-77.87	000.1050	-32.0725	*	2QZ J000025-3204 	00 00 25.2	-32 04 21	O	      	    	     	    	 	 1.511	    	*	19.52	     	-0.38	-25.7	    	 489	 489
      27	084.75	-69.47	000.1200	-10.4653	 	SDSS J00004-1027 	00 00 28.8	-10 27 55	O	      	   1	     	    	 	 1.139	    	 	19.83	     	     	-24.7	    	    	   1
      28	008.66	-78.09	000.1221	-31.4431	*	2QZ J000029-3126 	00 00 29.3	-31 26 35	O	      	    	     	    	 	 1.879	    	*	20.83	     	-0.28	-24.9	    	 489	 489
      29	041.03	-78.36	000.1329	-24.9158	*	XMM J00005-2454  	00 00 31.9	-24 54 57	O	      	    	     	    	 	 0.284	S1  	R	17.70	     	     	-23.0	    	    	 674
      30	011.97	-78.30	000.1371	-30.7342	*	2QZ J000032-3044 	00 00 32.9	-30 44 03	O	      	    	     	    	 	 1.438	    	*	19.85	     	-0.37	-25.3	    	 489	 489
      31	008.54	-78.10	000.1379	-31.4658	*	2QZ J000033-3127 	00 00 33.1	-31 27 57	O	      	    	     	    	 	 1.423	    	*	20.19	     	-0.51	-24.9	    	 489	 489
      32	040.13	-78.41	000.1442	-25.1058	*	XMM J00005-2506  	00 00 34.6	-25 06 21	O	      	    	     	    	 	 1.234	S1  	R	20.30	     	     	-23.9	    	    	 674
      33	084.67	-69.55	000.1487	-10.5514	*	SDSS J00005-1033 	00 00 35.7	-10 33 05	O	      	   1	     	    	 	 1.218	    	 	19.60	     	     	-25.1	    	    	   1
      34	009.18	-78.15	000.1500	-31.3236	*	2QZ J000035-3119 	00 00 36.0	-31 19 25	O	      	    	     	    	 	 2.013	    	*	20.59	     	-1.02	-25.4	    	 487	 487
      35	006.35	-77.95	000.1529	-31.9419	*	2QZ J000036-3156 	00 00 36.7	-31 56 31	O	      	    	     	    	 	 2.463	    	*	20.33	     	 0.47	-26.3	    	 487	 487
      36	096.40	-60.53	000.1625	 -0.3006	*	Q 2358-005       	00 00 39.0	-00 18 02	O	      	    	     	    	 	 2.114	    	 	18.00	     	     	-28.1	2359	    	1802
      37	025.08	-78.72	000.1679	-28.0972	*	2QZ J000040-2805 	00 00 40.3	-28 05 50	O	      	    	     	    	 	 1.757	    	*	18.88	     	-0.88	-26.7	    	 487	 487
      38	094.53	-62.53	000.1746	 -2.4897	 	Q 2358-0246      	00 00 41.9	-02 29 23	O	      	 196	     	    	 	 1.070	    	O	18.10	     	     	-26.3	    	    	 892
      39	008.27	-78.11	000.1763	-31.5136	*	2QZ J000042-3130 	00 00 42.3	-31 30 49	O	      	    	     	    	 	 1.927	    	*	20.72	     	-0.51	-25.1	    	 487	 487
      40	025.15	-78.73	000.1783	-28.0833	*	2QZ J000042-2805 	00 00 42.8	-28 05 00	O	      	    	     	    	 	 1.065	    	*	19.99	     	-1.13	-24.4	    	 487	 487
      41	097.39	-59.40	000.1788	 +0.9275	*	PB 5677          	00 00 42.9	+00 55 39	O	      	    	     	    	 	 0.949	    	O	18.70	     	     	-25.4	    	    	 892
      42	086.82	-68.43	000.1833	 -9.1931	*	SDSS J00007-0911 	00 00 44.0	-09 11 35	O	      	   1	     	    	 	 0.440	    	 	18.83	     	     	-23.4	    	    	   1
      43	005.95	-77.95	000.1854	-32.0208	*	2QZ J000044-3201 	00 00 44.5	-32 01 15	O	      	    	     	    	 	 1.838	    	*	20.54	     	-0.32	-25.1	    	 487	 487
      44	020.88	-78.68	000.1946	-28.9200	*	2QZ J000046-2855 	00 00 46.7	-28 55 12	O	      	    	     	    	 	 2.140	    	*	20.48	     	-0.51	-25.6	    	 489	 489
      45	013.12	-78.42	000.1963	-30.4828	*	2QZ J000047-3028 	00 00 47.1	-30 28 58	O	      	    	     	    	 	 1.621	    	*	19.86	     	-0.20	-25.5	    	 489	 489
      46	009.78	-78.24	000.2021	-31.1822	*	2QZ J000048-3110 	00 00 48.5	-31 10 56	O	      	    	     	    	 	 1.866	    	*	20.48	     	-0.91	-25.2	    	 489	 489
      47	085.66	-69.14	000.2063	-10.0119	*	SDSS J00008-1000 	00 00 49.5	-10 00 43	O	      	   1	     	    	 	 1.138	    	 	21.28	     	     	-23.3	    	    	   1
      48	027.23	-78.76	000.2071	-27.6769	*	2QZ J000049-2740 	00 00 49.7	-27 40 37	O	      	    	     	    	 	 2.136	    	*	19.95	     	-0.40	-26.2	    	 487	 487
      49	085.12	-69.43	000.2108	-10.3656	 	FIRST J00008-1021	00 00 50.6	-10 21 56	O	      	 165	     	    	 	 2.630	    	 	18.53	     	     	-28.4	    	    	 165
      50	021.36	-78.71	000.2183	-28.8236	*	2QZ J000052-2849 	00 00 52.4	-28 49 25	O	      	    	     	    	 	 0.865	    	*	19.38	     	-0.49	-24.5	    	 487	 487
      51	096.25	-60.85	000.2213	 -0.6200	*	SDSSp J00008-0037	00 00 53.1	-00 37 12	O	      	1802	     	    	 	 1.323	    	 	18.57	     	     	-26.3	    	    	1802
      52	008.63	-78.18	000.2221	-31.4233	*	2QZ J000053-3125 	00 00 53.3	-31 25 24	O	      	    	     	    	 	 0.776	    	*	20.54	     	-0.70	-23.0	    	 489	 489
      53	028.87	-78.77	000.2238	-27.3561	*	2QZ J000053-2721 	00 00 53.7	-27 21 22	O	      	    	     	    	 	 1.686	    	*	19.90	     	-0.61	-25.6	    	 487	 487
      54	012.10	-78.39	000.2296	-30.6853	*	2QZ J000055-3041 	00 00 55.1	-30 41 07	O	      	    	     	    	 	 1.160	    	*	20.37	     	-0.58	-24.2	    	 489	 489
      55	106.13	-43.82	000.2329	+17.3942	*	RXS J00009+1723  	00 00 55.9	+17 23 39	O	      	    	     	    	 	 0.215	    	O	17.20	     	     	-23.4	    	    	2206
      56	095.90	-61.26	000.2371	 -1.0692	*	SDSSp J00009-0104	00 00 56.9	-01 04 09	O	      	1802	     	    	 	 2.111	    	 	20.05	     	     	-26.0	    	    	1802
      57	087.32	-68.25	000.2404	 -8.9381	*	SDSS J00009-0856 	00 00 57.7	-08 56 17	O	      	   1	     	    	 	 1.095	    	 	18.71	     	     	-25.8	    	    	   1
      58	096.16	-61.00	000.2425	 -0.7794	*	PB 5679          	00 00 58.2	-00 46 46	O	      	    	     	    	 	 1.890	    	 	18.00	     	     	-27.8	2359	    	1645
      59	048.85	-77.96	000.2429	-23.2664	*	HE 2358-2332     	00 00 58.3	-23 15 59	O	      	    	     	    	 	 1.872	    	O	17.00	     	     	-28.7	    	    	2296
      60	097.25	-59.75	000.2450	 +0.5861	*	SDSSp J00009+0035	00 00 58.8	+00 35 10	O	      	1802	     	    	 	 1.659	    	 	19.92	     	     	-25.5	    	    	1802
      61	011.75	-78.39	000.2517	-30.7550	*	2QZ J000100-3045 	00 01 00.4	-30 45 18	O	      	    	     	    	 	 0.865	    	*	18.79	     	-0.84	-25.1	    	 487	 487
      62	010.32	-78.31	000.2533	-31.0536	*	2QZ J000100-3103 	00 01 00.8	-31 03 13	O	      	    	     	    	 	 1.539	    	*	20.62	     	 0.06	-24.6	    	 487	 487
      63	022.09	-78.77	000.2625	-28.6758	*	2QZ J000102-2840 	00 01 03.0	-28 40 33	O	      	    	     	    	 	 1.692	    	*	19.60	     	-0.32	-25.9	    	 489	 489
      64	009.42	-78.27	000.2658	-31.2408	*	2QZ J000103-3114 	00 01 03.8	-31 14 27	O	      	    	     	    	 	 1.330	    	*	19.97	     	-1.05	-25.0	    	 487	 487
      65	084.59	-69.80	000.2662	-10.7750	*	SDSS J00010-1046 	00 01 03.9	-10 46 30	O	      	   1	     	    	 	 2.080	    	 	18.69	     	     	-27.4	    	    	   1
      66	074.36	-73.76	000.2725	-15.8522	 	PKS 2358-161     	00 01 05.4	-15 51 08	O	 0.305	 787	 0.50	2157	 	 2.044	    	 	18.30	     	     	-27.4	1748	1261	2319
      67	040.06	-78.54	000.2783	-25.1464	*	XMM J00011-2508  	00 01 06.8	-25 08 47	O	      	    	     	    	 	 1.355	S1  	R	21.00	     	     	-23.5	    	    	 674
      68	014.06	-78.53	000.2783	-30.2722	*	2QZ J000106-3016 	00 01 06.8	-30 16 20	O	      	    	     	    	 	 1.958	    	*	19.07	     	-0.72	-26.8	    	 489	 489
      69	005.41	-77.99	000.2787	-32.1114	*	2QZ J000106-3206 	00 01 06.9	-32 06 41	O	      	    	     	    	 	 3.108	    	*	20.02	     	 0.85	-27.8	    	 487	 487
      70	020.63	-78.76	000.2829	-28.9597	*	2QZ J000107-2857 	00 01 07.9	-28 57 35	O	      	    	     	    	 	 0.887	    	*	19.78	     	-1.20	-24.2	    	 487	 487
      71	106.86	-42.05	000.2863	+19.2428	 	TEX 2358+189     	00 01 08.7	+19 14 34	O	 0.197	 776	     	    	 	 3.100	    	 	20.50	     	     	-27.3	    	    	2227
      72	096.32	-60.94	000.2883	 -0.6892	*	SDSSp J00011-0041	00 01 09.2	-00 41 21	O	      	1802	     	    	 	 0.417	S1n 	 	18.80	     	     	-23.3	    	    	2241
      73	029.55	-78.82	000.2888	-27.2275	*	2QZ J000109-2713 	00 01 09.3	-27 13 39	O	      	    	     	    	 	 1.100	    	*	18.76	     	-0.96	-25.7	    	 487	 487
      74	097.97	-58.97	000.2892	 +1.4442	*	PB 5682          	00 01 09.4	+01 26 39	O	      	    	     	    	 	 0.724	    	O	18.80	     	     	-24.6	    	    	 892
      75	029.37	-78.83	000.2917	-27.2619	*	2QZ J000109-2715 	00 01 10.0	-27 15 43	O	      	    	     	    	 	 2.579	    	*	20.80	     	-0.44	-26.0	    	 489	 489
      76	084.49	-69.91	000.2958	-10.8797	*	SDSS J00011-1052 	00 01 11.0	-10 52 47	O	      	   1	     	    	 	 0.528	    	 	17.84	     	     	-24.7	    	    	   1
      77	096.62	-60.61	000.2967	 -0.3364	 	SDSSp J00011-0020	00 01 11.2	-00 20 11	O	      	1802	     	    	 	 0.518	    	 	19.09	     	     	-23.4	    	    	1802
      78	009.42	-78.30	000.3000	-31.2328	*	2QZ J000112-3113 	00 01 12.0	-31 13 58	O	      	    	     	    	 	 1.226	    	*	19.76	     	-0.63	-25.0	    	 487	 487
      79	007.88	-78.20	000.3017	-31.5625	*	2QZ J000112-3133 	00 01 12.4	-31 33 45	O	      	    	     	    	 	 1.866	    	*	20.06	     	-1.42	-25.7	    	 489	 489
      80	012.63	-78.49	000.3029	-30.5606	*	2QZ J000112-3033 	00 01 12.7	-30 33 38	O	      	    	     	    	 	 1.774	    	*	18.95	     	-0.93	-26.6	    	 489	 489
      81	096.96	-60.28	000.3192	 +0.0353	*	UM 194           	00 01 16.6	+00 02 07	O	      	    	     	    	 	 0.780	    	O	19.10	     	     	-24.4	1233	    	1645
      82	022.72	-78.83	000.3225	-28.5489	*	2QZ J000117-2832 	00 01 17.4	-28 32 56	O	      	    	     	    	 	 1.423	    	*	19.63	     	-0.68	-25.5	    	 487	 487
      83	101.81	-53.33	000.3254	 +7.4739	*	RX J00013+0728   	00 01 18.1	+07 28 26	 	      	    	     	    	 	 0.270	    	 	17.90	     	     	-23.2	    	    	2016
      84	096.10	-61.27	000.3267	 -1.0392	*	SDSSp J00013-0102	00 01 18.4	-01 02 21	O	      	1802	     	    	 	 1.969	    	 	19.42	     	     	-26.5	    	    	1802
      85	099.01	-57.70	000.3300	 +2.8217	*	Q 2358+025       	00 01 19.2	+02 49 18	 	      	    	     	    	*	 2.750	    	 	18.00	     	     	-29.2	2357	    	2358
      86	084.07	-70.18	000.3346	-11.1844	*	SDSS J00013-1111 	00 01 20.3	-11 11 04	O	      	   1	     	    	 	 1.421	    	 	19.75	     	     	-25.3	    	    	   1
      87	007.75	-78.22	000.3371	-31.5783	*	6QZ J000120-3134 	00 01 20.9	-31 34 42	O	      	    	     	    	 	 0.948	    	*	18.08	     	-0.98	-26.0	    	 489	 489
      88	098.84	-57.96	000.3404	 +2.5511	*	Q 2358+0216      	00 01 21.7	+02 33 04	O	      	    	     	    	 	 1.872	    	O	19.40	     	     	-26.3	    	    	 359
      89	040.82	-78.56	000.3446	-25.0053	*	XMM J00013-2500  	00 01 22.7	-25 00 19	O	      	    	     	    	 	 0.964	S1  	R	18.70	     	     	-24.9	    	    	 674
      90	025.60	-78.88	000.3454	-27.9911	*	2QZ J000122-2759 	00 01 22.9	-27 59 28	O	      	    	     	    	 	 1.795	    	*	20.35	     	-0.71	-25.3	    	 487	 487
      91	101.34	-54.22	000.3492	 +6.5419	 	HS 2358+0615     	00 01 23.8	+06 32 31	O	      	 375	     	    	 	 1.030	    	O	17.40	     	     	-26.9	    	    	 816
      92	085.36	-69.55	000.3500	-10.4161	*	SDSS J00013-1024 	00 01 24.0	-10 24 58	O	      	   1	     	    	 	 1.058	    	 	18.57	     	     	-25.8	    	    	   1
      93	086.67	-68.84	000.3513	 -9.5636	*	SDSS J00014-0933 	00 01 24.3	-09 33 49	O	      	   1	     	    	 	 1.634	    	 	19.50	     	     	-25.9	    	    	   1
      94	005.12	-78.05	000.3692	-32.1453	*	6QZ J000128-3208 	00 01 28.6	-32 08 43	O	      	    	     	    	 	 0.468	    	*	17.60	     	-1.11	-24.7	    	 489	 489
      95	023.67	-78.89	000.3796	-28.3611	 	2QZ J000131-2821 	00 01 31.1	-28 21 40	O	      	 487	     	    	 	 2.307	    	*	20.44	     	-0.51	-26.0	    	 487	 487
      96	107.66	-40.16	000.3850	+21.2267	 	TEX 2358+209     	00 01 32.4	+21 13 36	R	 0.113	 776	     	    	 	 0.439	    	O	19.10	     	     	-23.1	    	    	1427
      97	100.96	-54.96	000.3892	 +5.7669	*	RX J00015+0529   	00 01 33.4	+05 46 01	 	      	    	     	    	 	 0.251	    	 	16.90	     	     	-24.1	    	    	2016
      98	009.50	-78.39	000.3912	-31.1914	*	2QZ J000133-3111 	00 01 33.9	-31 11 29	O	      	    	     	    	 	 0.855	    	*	20.79	     	-0.57	-23.1	    	 487	 487
      99	006.32	-78.18	000.4042	-31.8689	*	2QZ J000136-3152 	00 01 37.0	-31 52 08	O	      	    	     	    	 	 1.175	    	*	20.27	     	-0.89	-24.3	    	 487	 487
     100	085.16	-69.77	000.4154	-10.6400	*	SDSS J00016-1038 	00 01 39.7	-10 38 24	O	      	   1	     	    	 	 1.820	    	 	19.92	     	     	-25.7	    	    	   1
     101	101.79	-53.65	000.4192	 +7.1650	*	Q 2359+0653      	00 01 40.6	+07 09 54	O	      	    	     	    	 	 3.234	    	 	18.40	     	     	-28.6	 864	1261	2050
     102	097.43	-59.99	000.4229	 +0.3989	*	SDSSp J00016+0023	00 01 41.5	+00 23 56	O	      	1802	     	    	 	 0.937	    	 	19.19	     	     	-24.9	    	    	1802
     103	008.38	-78.34	000.4238	-31.4200	*	2QZ J000141-3125 	00 01 41.7	-31 25 12	O	      	    	     	    	 	 2.034	    	*	20.44	     	-1.04	-25.6	    	 487	 487
     104	085.02	-69.87	000.4304	-10.7469	*	SDSS J00017-1044 	00 01 43.3	-10 44 49	O	      	   1	     	    	 	 1.340	    	 	19.73	     	     	-25.2	    	    	   1
     105	012.28	-78.59	000.4358	-30.6028	*	2QZ J000144-3036 	00 01 44.6	-30 36 10	O	      	    	     	    	 	 2.221	    	*	20.20	     	 0.60	-26.0	    	 489	 489
     106	008.78	-78.38	000.4375	-31.3311	*	2QZ J000144-3119 	00 01 45.0	-31 19 52	O	      	    	     	    	 	 1.026	    	*	18.69	     	-0.96	-25.6	    	 487	 487
     107	010.61	-78.50	000.4387	-30.9453	*	2QZ J000145-3056 	00 01 45.3	-30 56 43	O	      	    	     	    	 	 1.942	    	*	20.85	     	-0.95	-25.0	    	 487	 487
     108	095.51	-62.19	000.4425	 -1.9928	*	UM 195           	00 01 46.2	-01 59 34	O	      	    	     	    	 	 0.867	    	O	18.90	     	     	-25.0	1233	    	2128
     109	097.67	-59.75	000.4450	 +0.6664	*	BG KPN  9        	00 01 46.8	+00 39 59	O	      	    	     	    	 	 2.897	    	R	19.00	     	     	-27.5	 717	    	2050
     110	097.35	-60.14	000.4458	 +0.2414	*	BG KPN 10        	00 01 47.0	+00 14 29	O	      	    	     	    	 	 2.120	    	 	20.80	     	     	-25.3	 717	    	1645
