#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9028
#Name: IX/28A
#Title:	ROSAT HRI Pointed Observations (1RXH) (ROSAT Team, 2000)
#Table	IX_28A_hricat:
#Name: IX/28A/hricat
#Title:	ROSAT Source Catalog of Pointed Observations with the High Resolution Imager (1RXH)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RAJ2000=308.2000, DEJ2000=+41.0000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_1RXH	(I2)	? Number of sources sharing a common 1RXH name        (link)	[ucd=NOTE]
#Column	1RXH	(A21)	Name of catalogued detection        (link)	[ucd=ID_MAIN]
#Column	ErrPos	(I3)	Total positional error	[ucd=ERROR]
#Column	CRate	(E9.2)	Estimate of net count rate	[ucd=PHOT_COUNT-RATE_X]
#Column	e_CRate	(E8.1)	? Mean error on CRate	[ucd=ERROR]
#Column	varFlag	(A1)	[NTP] Source variability	[ucd=CODE_VARIAB]
#Column	SRCflags	(A13)	[.cdefiu_mnpavw] Source flags	[ucd=CODE_MISC]
#Column	SEQflags	(A8)	[.DABEFMS_+] Sequence flags	[ucd=CODE_MISC]
#Column	Comment	(A5)	Source comment	[ucd=REMARKS]
#Column	begDate	(A10)	Observation start date	[ucd=TIME_DATE]
#Column	RAJ2000	(F8.4)	Source Right Ascension (J2000)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F8.4)	Source Declination (J2000)	[ucd=POS_EQ_DEC_MAIN]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	n_1RXH	1RXH	ErrPos	CRate	e_CRate	varFlag	SRCflags	SEQflags	Comment	begDate	RAJ2000	DEJ2000
   95134	 9.59342	070.39	-00.43	302.5467	+32.5365	 2	1RXH J201011.2+323211	  2	 2.59e-03	 5.2e-04	N	.....u_......	......._	     	1997-04-11	302.5467	+32.5365
   95133	 9.59343	070.39	-00.43	302.5469	+32.5364	 2	1RXH J201011.2+323211	  2	 2.72e-03	 5.2e-04	N	......_......	.......+	     	1997-04-11	302.5469	+32.5364
   95131	 9.59226	070.39	-00.43	302.5462	+32.5380	  	1RXH J201011.0+323216	  3	 2.62e-03	 5.2e-04	N	.....u_......	......._	     	1997-04-11	302.5462	+32.5380
   95132	 9.59219	070.39	-00.43	302.5464	+32.5380	  	1RXH J201011.1+323216	  5	 2.55e-03	 5.1e-04	N	.....u_......	......._	     	1997-04-11	302.5464	+32.5380
   95140	 9.55612	070.43	-00.45	302.5912	+32.5595	  	1RXH J201021.8+323334	  1	 5.76e-03	 7.1e-04	N	......_......	.......+	     	1997-04-11	302.5912	+32.5595
   95141	 9.55588	070.43	-00.45	302.5916	+32.5596	  	1RXH J201021.9+323334	  2	 5.66e-03	 7.0e-04	N	.....u_......	......._	     	1997-04-11	302.5916	+32.5596
   95142	 9.55568	070.43	-00.45	302.5919	+32.5597	  	1RXH J201022.0+323334	  4	 5.60e-03	 7.0e-04	N	.....u_......	......._	     	1997-04-11	302.5919	+32.5597
   95143	 9.55559	070.43	-00.45	302.5919	+32.5598	  	1RXH J201022.0+323335	  3	 5.49e-03	 7.0e-04	N	.....u_......	......._	     	1997-04-11	302.5919	+32.5598
   95058	 9.43634	070.52	-00.15	302.3522	+32.7974	  	1RXH J200924.5+324750	  4	 1.38e-03	 5.4e-04	N	......_.n....	......._	     	1997-04-11	302.3522	+32.7974
   94130	 8.99172	071.24	+03.05	299.5518	+35.1152	  	1RXH J195812.4+350654	  5	 1.01e-02	 3.7e-03	T	......_.n....	....F.._	     	1992-11-26	299.5518	+35.1152
   94131	 8.99087	071.25	+03.05	299.5522	+35.1161	  	1RXH J195812.5+350657	  7	 1.01e-02	 3.7e-03	N	..e.iu_.npav.	....F.._	     	1992-11-26	299.5522	+35.1161
   94138	 8.98570	071.25	+03.05	299.5580	+35.1186	  	1RXH J195813.9+350706	  8	 1.25e-02	 3.9e-03	N	..e.i._.npav.	....F.._	     	1992-11-26	299.5580	+35.1186
   94117	 8.98245	071.26	+03.06	299.5443	+35.1352	  	1RXH J195810.6+350806	  6	 1.63e-02	 4.2e-03	N	..efiu_m.pav.	....F.._	     	1992-11-26	299.5443	+35.1352
   94116	 8.98238	071.26	+03.07	299.5428	+35.1366	  	1RXH J195810.2+350811	  7	 1.48e-02	 4.1e-03	N	..e.iu_..p...	....F.._	     	1992-11-26	299.5428	+35.1366
   94118	 8.98122	071.26	+03.06	299.5452	+35.1362	  	1RXH J195810.8+350810	  5	 1.71e-02	 4.3e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5452	+35.1362
   94158	 8.96600	071.27	+03.04	299.5781	+35.1299	  	1RXH J195818.7+350747	  5	 1.26e-02	 3.8e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5781	+35.1299
   94156	 8.96618	071.27	+03.04	299.5771	+35.1305	  	1RXH J195818.5+350749	  6	 1.26e-02	 3.8e-03	N	..efiu_m.pav.	....F.._	     	1992-11-26	299.5771	+35.1305
   94215	 8.95449	071.27	+03.00	299.6161	+35.1139	  	1RXH J195827.8+350649	  4	 1.01e-02	 3.5e-03	T	......_.n....	....F.._	     	1992-11-26	299.6161	+35.1139
   94104	 8.97557	071.27	+03.08	299.5311	+35.1567	  	1RXH J195807.4+350924	  5	 1.06e-02	 3.7e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5311	+35.1567
   94190	 8.95553	071.27	+03.02	299.6019	+35.1246	  	1RXH J195824.4+350728	  8	 9.22e-03	 3.4e-03	N	..e.i._.npav.	....F.._	     	1992-11-26	299.6019	+35.1246
   94124	 8.96627	071.28	+03.07	299.5489	+35.1548	  	1RXH J195811.7+350917	  4	 1.75e-02	 4.3e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5489	+35.1548
   94145	 8.96057	071.28	+03.06	299.5655	+35.1487	  	1RXH J195815.7+350855	  4	 2.01e-02	 4.5e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5655	+35.1487
   94110	 8.96744	071.28	+03.09	299.5359	+35.1644	  	1RXH J195808.6+350951	  6	 1.06e-02	 3.6e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5359	+35.1644
   94092	 8.97624	071.28	+03.12	299.5015	+35.1816	  	1RXH J195800.3+351053	  5	 7.71e-03	 3.4e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5015	+35.1816
   94094	 8.97308	071.28	+03.12	299.5037	+35.1843	  	1RXH J195800.8+351103	  7	 1.14e-02	 3.7e-03	N	..e.iu_.npav.	....F.._	     	1992-11-26	299.5037	+35.1843
   94153	 8.95417	071.28	+03.05	299.5728	+35.1517	  	1RXH J195817.4+350906	  5	 1.58e-02	 4.1e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5728	+35.1517
   94109	 8.96346	071.29	+03.09	299.5357	+35.1704	  	1RXH J195808.5+351013	  5	 2.08e-02	 4.5e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5357	+35.1704
   94161	 8.95176	071.29	+03.04	299.5817	+35.1475	  	1RXH J195819.6+350850	  4	 1.90e-02	 4.3e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5817	+35.1475
   94137	 8.95797	071.29	+03.07	299.5565	+35.1603	  	1RXH J195813.5+350937	  2	 3.22e-02	 5.3e-03	T	......_.n....	....F.._	     	1992-11-26	299.5565	+35.1603
   94136	 8.95801	071.29	+03.07	299.5554	+35.1612	  	1RXH J195813.3+350940	  3	 3.07e-02	 5.2e-03	T	..efiu_m.pav.	....F.._	     	1992-11-26	299.5554	+35.1612
   94102	 8.96459	071.29	+03.10	299.5275	+35.1759	  	1RXH J195806.6+351033	  4	 2.14e-02	 4.6e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5275	+35.1759
   94120	 8.95933	071.29	+03.08	299.5463	+35.1672	  	1RXH J195811.1+351002	  5	 1.89e-02	 4.3e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5463	+35.1672
   94090	 8.97273	071.29	+03.14	299.4887	+35.1980	  	1RXH J195757.2+351152	  7	 1.25e-02	 3.9e-03	N	..e.i._.npav.	....F.._	     	1992-11-26	299.4887	+35.1980
   94172	 8.94550	071.29	+03.04	299.5912	+35.1484	  	1RXH J195821.8+350854	  3	 2.35e-02	 4.7e-03	T	..e.iu_.npav.	....F.._	     	1992-11-26	299.5912	+35.1484
   94171	 8.94550	071.29	+03.04	299.5905	+35.1490	  	1RXH J195821.7+350856	  2	 2.57e-02	 4.8e-03	T	......_.n....	....F.._	     	1992-11-26	299.5905	+35.1490
   94187	 8.94184	071.29	+03.03	299.5998	+35.1463	  	1RXH J195823.9+350846	  4	 2.00e-02	 4.4e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5998	+35.1463
   94112	 8.95547	071.29	+03.09	299.5389	+35.1793	  	1RXH J195809.3+351045	  5	 2.02e-02	 4.4e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5389	+35.1793
   94202	 8.93678	071.30	+03.02	299.6089	+35.1458	  	1RXH J195826.1+350844	  5	 1.14e-02	 3.6e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6089	+35.1458
   94147	 8.94668	071.30	+03.06	299.5688	+35.1661	  	1RXH J195816.5+350957	  3	 3.82e-02	 5.7e-03	T	..efiu_m.pav.	....F.._	     	1992-11-26	299.5688	+35.1661
   94093	 8.96320	071.30	+03.13	299.5028	+35.1996	  	1RXH J195800.6+351158	  8	 9.44e-03	 3.5e-03	N	..efi._m.p...	....F.._	     	1992-11-26	299.5028	+35.1996
   94150	 8.94578	071.30	+03.06	299.5703	+35.1661	  	1RXH J195816.8+350957	  3	 3.82e-02	 5.7e-03	T	......_.n....	....F.._	     	1992-11-26	299.5703	+35.1661
   94220	 8.93206	071.30	+03.01	299.6208	+35.1424	  	1RXH J195829.0+350832	  5	 1.08e-02	 3.5e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.6208	+35.1424
   94119	 8.95082	071.30	+03.09	299.5460	+35.1799	  	1RXH J195811.0+351047	  3	 3.49e-02	 5.5e-03	T	......_.n....	....F.._	     	1992-11-26	299.5460	+35.1799
   94103	 8.95474	071.30	+03.10	299.5304	+35.1878	  	1RXH J195807.2+351116	  5	 1.51e-02	 4.0e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5304	+35.1878
   94122	 8.94960	071.30	+03.09	299.5477	+35.1802	  	1RXH J195811.4+351048	  3	 3.78e-02	 5.7e-03	T	..efiu_m.pav.	....F.._	     	1992-11-26	299.5477	+35.1802
   94205	 8.93252	071.30	+03.03	299.6104	+35.1507	  	1RXH J195826.5+350902	  5	 1.94e-02	 4.3e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6104	+35.1507
   94100	 8.95460	071.30	+03.11	299.5232	+35.1943	  	1RXH J195805.5+351139	  5	 9.96e-03	 3.5e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5232	+35.1943
   94193	 8.93320	071.30	+03.03	299.6045	+35.1548	  	1RXH J195825.0+350917	  4	 2.58e-02	 4.8e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6045	+35.1548
   94135	 8.94485	071.30	+03.08	299.5552	+35.1806	  	1RXH J195813.2+351050	  3	 4.81e-02	 6.3e-03	T	......_.n....	....F.._	     	1992-11-26	299.5552	+35.1806
   94097	 8.95685	071.30	+03.13	299.5076	+35.2047	  	1RXH J195801.8+351217	  5	 8.94e-03	 3.4e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5076	+35.2047
   94166	 8.93583	071.30	+03.05	299.5891	+35.1643	  	1RXH J195821.3+350951	  3	 4.80e-02	 6.3e-03	T	..efi._m.pav.	....F.._	     	1992-11-26	299.5891	+35.1643
   94216	 8.92757	071.30	+03.02	299.6163	+35.1528	  	1RXH J195827.9+350909	  4	 1.66e-02	 4.1e-03	T	..e.iu_.npav.	....F.._	     	1992-11-26	299.6163	+35.1528
   94113	 8.94606	071.31	+03.10	299.5391	+35.1929	  	1RXH J195809.3+351134	  3	 3.05e-02	 5.2e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5391	+35.1929
   94251	 8.92183	071.31	+03.01	299.6341	+35.1458	  	1RXH J195832.1+350844	  7	 1.10e-02	 3.5e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6341	+35.1458
   94218	 8.92602	071.31	+03.02	299.6173	+35.1542	  	1RXH J195828.1+350915	  3	 2.24e-02	 4.5e-03	T	......_.n....	....F.._	     	1992-11-26	299.6173	+35.1542
   94105	 8.94772	071.31	+03.11	299.5313	+35.1973	  	1RXH J195807.5+351150	  5	 1.67e-02	 4.1e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5313	+35.1973
   94095	 8.95294	071.31	+03.13	299.5038	+35.2138	  	1RXH J195800.9+351249	  4	 1.32e-02	 3.9e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5038	+35.2138
   94096	 8.95212	071.31	+03.13	299.5046	+35.2143	  	1RXH J195801.1+351251	  6	 1.39e-02	 3.9e-03	N	..e.iu_.npav.	....F.._	     	1992-11-26	299.5046	+35.2143
   94224	 8.92110	071.31	+03.02	299.6250	+35.1547	  	1RXH J195829.9+350917	  3	 2.17e-02	 4.5e-03	T	......_.n....	....F.._	     	1992-11-26	299.6250	+35.1547
   94226	 8.92039	071.31	+03.02	299.6255	+35.1553	  	1RXH J195830.1+350919	  4	 2.25e-02	 4.5e-03	T	..efiu_m.pav.	....F.._	     	1992-11-26	299.6255	+35.1553
   94091	 8.95528	071.31	+03.15	299.4889	+35.2235	  	1RXH J195757.3+351324	  8	 9.69e-03	 3.6e-03	N	....i._.n.av.	....F.._	     	1992-11-26	299.4889	+35.2235
   94191	 8.92589	071.31	+03.04	299.6027	+35.1670	  	1RXH J195824.6+351001	  3	 4.54e-02	 6.1e-03	T	..efi._m.pav.	....F.._	     	1992-11-26	299.6027	+35.1670
   94263	 8.91560	071.31	+03.00	299.6431	+35.1471	  	1RXH J195834.3+350849	  5	 1.03e-02	 3.4e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6431	+35.1471
   94176	 8.92700	071.31	+03.05	299.5961	+35.1711	  	1RXH J195823.0+351015	  2	 8.23e-02	 8.0e-03	N	..efi._m.pav.	....F.._	     	1992-11-26	299.5961	+35.1711
   94099	 8.94459	071.31	+03.12	299.5199	+35.2119	  	1RXH J195804.7+351242	  5	 9.30e-03	 3.4e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5199	+35.2119
   94267	 8.91181	071.31	+03.00	299.6459	+35.1502	  	1RXH J195835.0+350900	  7	 1.39e-02	 3.8e-03	N	..efiu_m.pav.	....F.._	     	1992-11-26	299.6459	+35.1502
   94211	 8.91949	071.31	+03.03	299.6151	+35.1656	  	1RXH J195827.6+350956	  4	 4.48e-02	 6.1e-03	T	..efiu_m.pav.	....F.._	     	1992-11-26	299.6151	+35.1656
   94108	 8.93950	071.32	+03.11	299.5349	+35.2062	  	1RXH J195808.3+351222	  4	 2.40e-02	 4.7e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5349	+35.2062
   94219	 8.91809	071.32	+03.03	299.6186	+35.1646	  	1RXH J195828.4+350952	  2	 3.54e-02	 5.5e-03	T	..e.i._.np...	....F.._	     	1992-11-26	299.6186	+35.1646
   94208	 8.91908	071.32	+03.03	299.6130	+35.1680	  	1RXH J195827.1+351004	  2	 4.99e-02	 6.4e-03	T	..e.i._.np...	....F.._	     	1992-11-26	299.6130	+35.1680
   94129	 8.93470	071.32	+03.09	299.5508	+35.1993	  	1RXH J195812.1+351157	  2	 6.25e-02	 7.1e-03	T	..efi._m.pav.	....F.._	     	1992-11-26	299.5508	+35.1993
   94270	 8.90858	071.32	+03.00	299.6488	+35.1524	  	1RXH J195835.7+350908	  5	 1.02e-02	 3.4e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6488	+35.1524
   94098	 8.94102	071.32	+03.13	299.5120	+35.2241	  	1RXH J195802.8+351326	  5	 1.06e-02	 3.6e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5120	+35.2241
   94106	 8.93546	071.32	+03.11	299.5331	+35.2137	  	1RXH J195807.9+351249	  2	 2.40e-02	 4.7e-03	T	....i._.n.av.	....F.._	     	1992-11-26	299.5331	+35.2137
   94107	 8.93399	071.32	+03.11	299.5342	+35.2149	  	1RXH J195808.2+351253	  3	 2.48e-02	 4.8e-03	T	..efiu_m.pav.	....F.._	     	1992-11-26	299.5342	+35.2149
   94257	 8.90531	071.33	+03.02	299.6362	+35.1680	  	1RXH J195832.6+351004	  3	 2.76e-02	 4.9e-03	T	..efi._m.pav.	....F.._	     	1992-11-26	299.6362	+35.1680
   94273	 8.89813	071.33	+03.00	299.6548	+35.1624	  	1RXH J195837.1+350944	  5	 1.01e-02	 3.4e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.6548	+35.1624
   94101	 8.93036	071.33	+03.13	299.5248	+35.2285	  	1RXH J195805.9+351342	  5	 1.45e-02	 4.0e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5248	+35.2285
   94227	 8.90350	071.33	+03.03	299.6257	+35.1797	  	1RXH J195830.1+351046	  3	 5.59e-02	 6.7e-03	T	..efi._m.pav.	....F.._	     	1992-11-26	299.6257	+35.1797
   94126	 8.92181	071.33	+03.10	299.5492	+35.2196	  	1RXH J195811.8+351310	  2	 4.41e-02	 6.1e-03	T	..e.i._.npav.	....F.._	     	1992-11-26	299.5492	+35.2196
