#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9030
#Name: IX/30
#Title:	Second ROSAT PSPC Catalog (ROSAT, 2000)
#Table	IX_30_2rxp:
#Name: IX/30/2rxp
#Title:	The 2RXP Catalog
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RAJ2000=308.2000, DEJ2000=+41.0000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	Seq	(A16)	ROSAT detection sequence number        (link)	[ucd=ID_NUMBER]
#Column	S	(A1)	[S] for source in "short" catalog        (link)	[ucd=CODE_MISC]
#Column	m_2RXP	(A1)	[a-l] Multiplicity index	[ucd=CODE_MULT_INDEX]
#Column	2RXP	(A16)	2RXP designation (Jhhmmss.s+ddmmss)	[ucd=ID_MAIN]
#Column	Crate	(E10.3)	Estimate of net count rate	[ucd=PHOT_COUNT-RATE_X]
#Column	SrcFlags	(A13)	[cdefislmnpavw.] Source Flags	[ucd=CODE_MISC]
#Column	RAJ2000	(F8.4)	Source Right ascension (J2000)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F8.4)	Source Declination (J2000)	[ucd=POS_EQ_DEC_MAIN]
#Column	HR1	(F5.2)	Hardness ratio 1 (truncated to -9.99...99.99)	[ucd=SPECT_HARDNESS-RATIO]
#Column	HR2	(F5.2)	hardness ratio 2 (truncated to -9.99...99.99)	[ucd=SPECT_HARDNESS-RATIO]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	Seq	S	m_2RXP	2RXP	Crate	SrcFlags	RAJ2000	DEJ2000	HR1	HR2
   84550	 9.52128	070.44	+01.57	300.5675	+33.6531	2rp500124n00.005	S	 	J200216.2+333911	 8.828e-02	.d..isl..p.v.	300.5675	+33.6531	 0.24	 0.14
   84758	 9.46850	070.46	+00.99	301.1675	+33.3581	2rp500124n00.009	 	 	J200440.2+332129	 6.723e-03	.d..isl.np.v.	301.1675	+33.3581	 1.32	-0.55
   84500	 9.45888	070.52	+01.76	300.4229	+33.8256	2rp500124n00.003	S	 	J200141.5+334932	 2.571e-02	.d..isl..p.v.	300.4229	+33.8256	 0.38	-0.20
   84711	 9.37621	070.56	+01.20	301.0163	+33.5581	2rp500124n00.008	 	 	J200403.9+333329	 1.743e-03	........n....	301.0163	+33.5581	 0.78	 0.49
   84735	 9.26480	070.67	+01.19	301.0938	+33.6489	2rp500124n00.006	 	 	J200422.5+333856	 3.132e-03	........n....	301.0938	+33.6489	 1.34	 0.19
   84819	 8.99892	070.92	+00.90	301.5567	+33.7056	2rp500124n00.004	S	 	J200613.6+334220	 3.142e-02	.d..isl..p.v.	301.5567	+33.7056	 0.74	 0.46
   84709	 9.00740	070.95	+01.45	301.0088	+34.0200	2rp500124n00.001	S	 	J200402.1+340111	 1.661e-02	.d..isl..p.v.	301.0088	+34.0200	 1.29	 0.33
   84831	 8.97195	070.95	+00.75	301.7234	+33.6461	2rp500124n00.007	S	 	J200653.6+333846	 2.453e-02	.....sl....v.	301.7234	+33.6461	 0.71	-0.08
   84782	 8.94588	070.99	+01.16	301.3334	+33.8986	2rp500124n00.002	 	 	J200520.0+335355	 8.663e-03	.d..isl.np.v.	301.3334	+33.8986	 0.40	-0.26
   85843	 8.04209	072.53	-02.50	306.0088	+33.1494	2rp400261n00.026	S	 	J202402.1+330858	 1.104e-01	.....sl....v.	306.0088	+33.1494	-0.28	-0.18
   85862	 8.11403	072.54	-02.70	306.2179	+33.0411	2rp400261n00.027	S	 	J202452.3+330228	 2.288e-02	.....sl....v.	306.2179	+33.0411	-0.64	 0.05
   85771	 7.70647	072.70	-02.02	305.6534	+33.5636	2rp400261n00.024	S	 	J202236.8+333349	 8.561e-03	...........v.	305.6534	+33.5636	 0.51	 0.03
   85804	 7.49216	072.92	-02.00	305.7900	+33.7558	2rp400261n00.016	 	 	J202309.6+334521	 9.376e-04	.....sl.n..v.	305.7900	+33.7558	 1.65	 0.39
   85796	 7.43722	072.96	-01.95	305.7713	+33.8164	2rp400261n00.013	S	 	J202305.1+334859	 1.052e-02	.....sl....v.	305.7713	+33.8164	 0.39	 0.12
   85834	 7.48594	072.97	-02.11	305.9283	+33.7342	2rp400261n00.018	 	 	J202342.8+334403	 1.069e-03	.....sl.n..v.	305.9283	+33.7342	 0.75	 0.38
   85838	 7.46077	073.01	-02.14	305.9900	+33.7481	2rp400261n00.017	S	 	J202357.6+334453	 2.557e-03	.....sl....v.	305.9900	+33.7481	 0.53	 0.24
   85832	 7.42363	073.02	-02.06	305.9179	+33.8003	2rp400261n00.014	 	 	J202340.3+334801	 5.709e-04	.....sl.n..v.	305.9179	+33.8003	 0.00	 0.52
   85849	 7.46402	073.02	-02.19	306.0433	+33.7347	2rp400261n00.019	 	 	J202410.4+334405	 1.337e-03	.....sl.n..v.	306.0433	+33.7347	 1.10	 0.49
   85863	 7.52711	073.03	-02.37	306.2259	+33.6378	2rp400261n00.023	 	 	J202454.2+333816	 8.580e-04	.d..isl.np.v.	306.2259	+33.6378	 1.76	 0.19
   85828	 7.38155	073.05	-02.02	305.8954	+33.8481	2rp400261n00.012	 	 	J202334.9+335053	 1.041e-03	.....sl.n..v.	305.8954	+33.8481	 0.00	-0.07
   85758	 7.21992	073.09	-01.66	305.5713	+34.0864	2rp400261n00.005	S	 	J202217.1+340510	 1.009e-02	.d..isl..p.v.	305.5713	+34.0864	 0.85	 0.26
   85853	 7.40226	073.09	-02.19	306.0984	+33.7878	2rp400261n00.015	 	 	J202423.6+334716	 7.945e-04	........n....	306.0984	+33.7878	 0.58	 0.08
   85845	 7.33988	073.12	-02.09	306.0159	+33.8672	2rp400261n00.011	S	 	J202403.8+335202	 2.420e-02	.............	306.0159	+33.8672	 0.97	 0.79
   85882	 7.60200	073.12	-02.73	306.6438	+33.4992	2rp400261n00.025	S	 	J202634.5+332957	 7.986e-03	.....sl....v.	306.6438	+33.4992	-0.44	 0.38
   85865	 7.43846	073.13	-02.37	306.2950	+33.7167	2rp400261n00.021	S	 	J202510.8+334300	 8.161e-03	.d..isl..p.v.	306.2950	+33.7167	 1.00	 0.96
   85819	 7.25674	073.13	-01.90	305.8363	+33.9889	2rp400261n00.009	S	 	J202320.7+335920	 1.476e-03	.............	305.8363	+33.9889	 0.78	-0.18
   85835	 7.27078	073.15	-01.99	305.9400	+33.9531	2rp400261n00.010	 	 	J202345.6+335711	 9.440e-04	........n....	305.9400	+33.9531	 0.45	-0.39
   85873	 7.47697	073.17	-02.55	306.5013	+33.6456	2rp400261n00.022	S	 	J202600.3+333844	 9.590e-03	.d..isl..p.v.	306.5013	+33.6456	-0.13	-0.13
   85800	 7.19180	073.17	-01.82	305.7825	+34.0675	2rp400261n00.008	 	 	J202307.8+340402	 2.291e-03	.d..isl.np.v.	305.7825	+34.0675	 0.99	 0.47
   85829	 7.11066	073.28	-01.87	305.9030	+34.1256	2rp400261n00.002	 	 	J202336.7+340731	 1.080e-03	.d..isl.np.v.	305.9030	+34.1256	 1.10	 0.03
   85858	 7.12412	073.33	-02.04	306.1167	+34.0694	2rp400261n00.007	 	 	J202428.0+340410	 5.286e-04	.....sl.n..v.	306.1167	+34.0694	 0.49	 0.00
   85851	 7.09378	073.34	-01.99	306.0655	+34.1103	2rp400261n00.004	S	 	J202415.7+340636	 4.809e-03	.....sl....v.	306.0655	+34.1103	 0.93	 0.63
   85890	 7.36815	073.35	-02.67	306.7413	+33.7233	2rp400261n00.020	S	 	J202657.9+334324	 5.100e-02	...........v.	306.7413	+33.7233	 0.96	 0.82
   85860	 7.10552	073.36	-02.06	306.1454	+34.0831	2rp400261n00.006	 	 	J202434.9+340458	 1.075e-03	.....sl.n..v.	306.1454	+34.0831	 0.33	 0.00
   84956	 6.40949	073.53	+01.17	303.0050	+36.0406	2rp500247n00.020	S	 	J201201.2+360226	 1.576e-02	.............	303.0050	+36.0406	 0.29	-0.14
   85875	 7.01391	073.56	-02.30	306.5250	+34.1125	2rp400261n00.003	S	 	J202606.0+340645	 7.570e-03	.............	306.5250	+34.1125	 0.77	 0.40
   84991	 6.28661	073.64	+00.85	303.4129	+35.9497	2rp500247n00.024	 	 	J201339.1+355658	 2.685e-03	.d..isl.np.v.	303.4129	+35.9497	 1.14	 0.77
   84970	 6.28385	073.65	+01.01	303.2525	+36.0467	2rp500247n00.019	 	 	J201300.6+360248	 7.689e-03	.d..isl.np.v.	303.2525	+36.0467	 0.89	 0.58
   85009	 6.23117	073.69	+00.78	303.5150	+35.9597	2rp500247n00.022	 	 	J201403.6+355735	 2.460e-03	.....sl.n..v.	303.5150	+35.9597	 0.45	 0.87
   85037	 6.20599	073.71	+00.64	303.6779	+35.9011	2rp500247n00.025	S	 	J201442.7+355404	 8.616e-03	.d..isl..p.v.	303.6779	+35.9011	 0.57	 0.20
   85017	 6.16896	073.75	+00.79	303.5508	+36.0153	2rp500247n00.021	 	 	J201412.2+360055	 1.313e-03	.....sl.n..v.	303.5508	+36.0153	-0.06	 0.91
   85035	 6.16101	073.76	+00.67	303.6754	+35.9564	2rp500247n00.023	 	 	J201442.1+355723	 2.151e-03	.....sl.n..v.	303.6754	+35.9564	 0.51	-0.02
   85016	 6.13981	073.78	+00.81	303.5492	+36.0517	2rp200564n00.026	S	 	J201411.8+360306	 1.167e-02	...........v.	303.5492	+36.0517	 0.62	 0.11
   85013	 6.13727	073.79	+00.82	303.5400	+36.0600	2rp500247n00.018	S	 	J201409.6+360336	 1.445e-02	.....sl....v.	303.5400	+36.0600	 0.74	-0.07
   84977	 6.11683	073.82	+01.05	303.3242	+36.2119	2rp500247n00.010	 	 	J201317.8+361243	 2.153e-03	........n....	303.3242	+36.2119	 1.03	 1.26
   85856	 6.53307	073.83	-01.68	306.1029	+34.6797	2rp400261n00.001	 	 	J202424.7+344047	 2.248e-02	...fisl..p.v.	306.1029	+34.6797	-0.56	-0.03
   85004	 6.07577	073.85	+00.91	303.4958	+36.1608	2rp500247n00.012	 	 	J201359.0+360939	 1.114e-03	........n....	303.4958	+36.1608	 1.12	 1.59
   84989	 6.07548	073.85	+00.99	303.4088	+36.2125	2rp500247n00.009	 	 	J201338.1+361245	 1.190e-03	........n....	303.4088	+36.2125	 3.68	-0.05
   85063	 6.01899	073.90	+00.67	303.7709	+36.0756	2rp500247n00.016	 	 	J201505.0+360432	 2.086e-03	.....sl.n..v.	303.7709	+36.0756	 0.04	 1.20
   85022	 6.01571	073.91	+00.83	303.6104	+36.1686	2rp500247n00.011	 	 	J201426.5+361007	 1.276e-03	........n....	303.6104	+36.1686	 1.19	 0.26
   84974	 6.02373	073.92	+01.14	303.2959	+36.3467	2rp500247n00.003	 	 	J201311.0+362048	 2.481e-03	........n....	303.2959	+36.3467	 0.66	-0.38
   85001	 6.00360	073.92	+00.98	303.4725	+36.2639	2rp500247n00.008	S	 	J201353.4+361550	 4.986e-03	...........v.	303.4725	+36.2639	 1.01	 0.05
   84987	 5.97579	073.96	+01.07	303.4029	+36.3408	2rp500247n00.004	 	 	J201336.7+362027	 1.760e-03	........n....	303.4029	+36.3408	 1.45	 0.93
   85069	 5.95842	073.96	+00.69	303.7979	+36.1339	2rp500247n00.014	S	 	J201511.5+360802	 4.111e-03	.....sl....v.	303.7979	+36.1339	 1.04	 0.21
   85023	 5.92756	074.00	+00.89	303.6117	+36.2761	2rp500247n00.007	 	 	J201426.8+361634	 9.986e-04	........n....	303.6117	+36.2761	 8.67	 0.81
   85089	 5.91765	074.00	+00.64	303.8796	+36.1389	2rp500247n00.013	S	 	J201531.1+360820	 1.716e-02	.....sl....v.	303.8796	+36.1389	-0.11	-0.31
   85091	 5.90972	074.01	+00.63	303.8871	+36.1444	2rp200564n00.024	S	 	J201532.9+360840	 1.587e-02	...........v.	303.8871	+36.1444	-0.07	-0.33
   85041	 5.86435	074.06	+00.86	303.6925	+36.3072	2rp500247n00.006	 	 	J201446.2+361826	 1.603e-03	........n....	303.6925	+36.3072	 0.58	-0.32
   84978	 5.86663	074.08	+01.22	303.3250	+36.5286	2rp500247n00.001	S	 	J201318.0+363143	 9.899e-03	.d..isl..p.v.	303.3250	+36.5286	 0.37	 0.09
   84979	 5.86600	074.08	+01.22	303.3275	+36.5278	2rp200564n00.021	S	 	J201318.6+363140	 1.256e-02	...........v.	303.3275	+36.5278	 0.49	-0.16
   85064	 5.82124	074.10	+00.79	303.7833	+36.3083	2rp500247n00.005	S	 	J201508.0+361830	 2.346e-03	.............	303.7833	+36.3083	 0.91	 0.19
   85127	 5.81767	074.11	+00.39	304.2013	+36.0925	2rp500247n00.015	S	 	J201648.3+360533	 9.202e-03	....isl..p.v.	304.2013	+36.0925	 1.43	 1.08
   85053	 5.79381	074.13	+00.88	303.7200	+36.3781	2rp500247n00.002	S	 	J201452.8+362241	 6.591e-03	.............	303.7200	+36.3781	 0.88	-0.06
   85054	 5.78845	074.14	+00.88	303.7238	+36.3825	2rp200564n00.023	S	 	J201453.7+362257	 7.859e-03	.d..isl..p.v.	303.7238	+36.3825	 1.00	 0.41
   85135	 5.79342	074.14	+00.31	304.3050	+36.0706	2rp500247n00.017	S	 	J201713.2+360414	 4.532e-02	c...isl..p.v.	304.3050	+36.0706	-0.07	-0.01
   85138	 5.77113	074.16	+00.32	304.3146	+36.0919	2rp500248n00.015	S	 	J201715.5+360531	 6.050e-02	.d..isl..p.v.	304.3146	+36.0919	-0.13	 0.02
   85139	 5.77099	074.16	+00.31	304.3225	+36.0883	2rp200564n00.025	S	 	J201717.4+360518	 2.628e-02	c...isl..p.v.	304.3225	+36.0883	 0.10	 0.02
   85136	 5.74504	074.19	+00.34	304.3105	+36.1242	2rp500248a01.016	S	 	J201714.5+360727	 1.174e-01	...........v.	304.3105	+36.1242	 0.43	 0.32
   85010	 5.71472	074.22	+01.13	303.5179	+36.5994	2rp200564n00.019	 	 	J201404.3+363558	 2.479e-03	........n..v.	303.5179	+36.5994	 0.50	-0.19
   85029	 5.66119	074.27	+01.03	303.6534	+36.5828	2rp200564n00.020	 	 	J201436.8+363458	 2.038e-03	........n..v.	303.6534	+36.5828	 0.62	 0.36
   85021	 5.65477	074.28	+01.12	303.5779	+36.6378	2rp200564n00.017	 	 	J201418.7+363816	 1.326e-03	.....sl.n..v.	303.5779	+36.6378	 0.52	 0.63
   85101	 5.63720	074.28	+00.76	303.9434	+36.4428	2rp200564n00.022	 	 	J201546.4+362634	 5.806e-03	.d..isl.np.v.	303.9434	+36.4428	 1.40	 0.01
   85000	 5.64724	074.30	+01.23	303.4671	+36.7186	2rp200564n00.010	 	 	J201352.1+364307	 2.560e-03	.....sl.n..v.	303.4671	+36.7186	 0.76	-0.49
   85012	 5.63088	074.31	+01.17	303.5359	+36.6950	2rp200564n00.011	 	 	J201408.6+364142	 1.928e-03	........n..v.	303.5359	+36.6950	 0.83	 0.62
   85027	 5.60898	074.33	+01.09	303.6334	+36.6611	2rp200564n00.013	S	 	J201432.0+363940	 6.649e-03	.....sl....v.	303.6334	+36.6611	 0.94	 0.58
   84996	 5.61817	074.33	+01.27	303.4496	+36.7678	2rp200564n00.009	 	 	J201347.9+364604	 1.630e-03	.....sl.n..v.	303.4496	+36.7678	 1.27	-0.22
   85032	 5.58612	074.35	+01.08	303.6646	+36.6706	2rp200564n00.012	 	 	J201439.5+364014	 1.328e-03	.....sl.n..v.	303.6646	+36.6706	 0.42	 0.82
   85046	 5.57846	074.35	+01.05	303.6996	+36.6586	2rp200564n00.014	 	 	J201447.9+363931	 1.616e-03	.....sl.n..v.	303.6996	+36.6586	 1.77	 0.00
   85067	 5.54347	074.39	+00.98	303.7909	+36.6469	2rp200564n00.016	S	 	J201509.8+363849	 2.853e-03	.....sl....v.	303.7909	+36.6469	 0.14	-0.13
   85068	 5.54034	074.39	+00.98	303.7954	+36.6481	2rp500248a01.015	 	 	J201510.9+363853	 8.369e-03	.d..isl.np.v.	303.7954	+36.6481	 0.84	 0.52
   85020	 5.55527	074.39	+01.19	303.5692	+36.7706	2rp200564n00.008	 	 	J201416.6+364614	 2.019e-03	........n..v.	303.5692	+36.7706	 1.04	 0.88
   85078	 5.52280	074.41	+00.96	303.8259	+36.6517	2rp200564n00.015	 	 	J201518.2+363906	 1.828e-03	.....sl.n..v.	303.8259	+36.6517	 0.35	 0.30
   85050	 5.44585	074.49	+01.13	303.7067	+36.8225	2rp200564n00.007	 	 	J201449.6+364921	 1.734e-03	........n..v.	303.7067	+36.8225	-0.12	-0.12
   85051	 5.43984	074.50	+01.13	303.7092	+36.8286	2rp500248n00.010	 	 	J201450.2+364943	 7.471e-03	.d..isl.np.v.	303.7092	+36.8286	 0.55	-0.01
   85109	 5.41262	074.51	+00.86	303.9971	+36.6875	2rp500248a01.014	 	 	J201559.3+364115	 3.322e-03	........n..v.	303.9971	+36.6875	 0.47	 0.22
   85107	 5.36187	074.56	+00.91	303.9854	+36.7572	2rp500248n00.012	 	 	J201556.5+364526	 2.570e-03	........n....	303.9854	+36.7572	 0.25	 0.52
   85065	 5.37255	074.57	+01.10	303.7884	+36.8642	2rp200564n00.004	 	 	J201509.2+365151	 8.879e-03	.....sl.n..v.	303.7884	+36.8642	 0.87	 0.53
   85086	 5.35754	074.57	+01.02	303.8755	+36.8289	2rp500248a01.011	 	 	J201530.1+364944	 3.082e-03	.....sl.n..v.	303.8755	+36.8289	 1.32	 0.70
   85081	 5.35869	074.58	+01.06	303.8338	+36.8533	2rp500248a01.010	 	 	J201520.1+365112	 3.927e-03	.....sl.n..v.	303.8338	+36.8533	 0.39	 0.44
   85080	 5.35724	074.58	+01.07	303.8313	+36.8567	2rp500248n00.009	 	 	J201519.5+365124	 3.263e-03	........n....	303.8313	+36.8567	 0.23	-0.76
   85090	 5.35281	074.58	+01.02	303.8821	+36.8308	2rp200564n00.006	 	 	J201531.7+364951	 4.016e-03	.....sl.n..v.	303.8821	+36.8308	 1.02	 0.78
   85082	 5.35412	074.58	+01.07	303.8346	+36.8586	2rp200564n00.005	S	 	J201520.3+365131	 8.028e-03	.....sl....v.	303.8346	+36.8586	 0.67	 0.44
   85092	 5.31783	074.62	+01.04	303.8879	+36.8714	2rp200564n00.003	 	 	J201533.1+365217	 5.978e-03	.d..isl.np.v.	303.8879	+36.8714	 1.14	 0.22
   85119	 5.30353	074.62	+00.86	304.0717	+36.7789	2rp500248a01.013	 	 	J201617.2+364644	 4.636e-03	........n..v.	304.0717	+36.7789	 0.92	 0.14
   85146	 5.27588	074.65	+00.57	304.3942	+36.6347	2rp500248n00.014	S	 	J201734.6+363805	 1.289e-02	.d..isl..p.v.	304.3942	+36.6347	 1.11	 0.41
   85148	 5.27523	074.65	+00.56	304.4005	+36.6322	2rp200564n00.018	S	 	J201736.1+363756	 3.409e-02	.............	304.4005	+36.6322	 1.22	 0.47
   85134	 5.25798	074.66	+00.70	304.2671	+36.7242	2rp500248n00.013	 	 	J201704.1+364327	 2.408e-03	........n....	304.2671	+36.7242	 1.26	 0.04
   85074	 5.26247	074.68	+01.16	303.8109	+36.9908	2rp500248a01.007	S	 	J201514.6+365927	 1.358e-02	...........v.	303.8109	+36.9908	 1.04	 0.78
   85075	 5.26190	074.68	+01.15	303.8142	+36.9894	2rp500248n00.006	S	 	J201515.4+365922	 8.715e-03	.............	303.8142	+36.9894	 1.02	 0.79
   84239	 6.72071	074.75	+04.96	299.7767	+39.0942	2rp201099n00.028	S	 	J195906.4+390539	 2.125e-02	.............	299.7767	+39.0942	-0.09	-0.26
   85117	 5.17885	074.75	+00.97	304.0484	+36.9481	2rp500248n00.008	 	 	J201611.6+365653	 4.412e-03	........n....	304.0484	+36.9481	 0.30	 0.42
   85152	 5.16234	074.76	+00.62	304.4263	+36.7536	2rp500248n00.011	 	 	J201742.3+364513	 4.095e-03	.d..isl.np.v.	304.4263	+36.7536	 0.56	 0.84
   85095	 5.14711	074.80	+01.15	303.8996	+37.0819	2rp500248a01.006	S	 	J201535.9+370455	 1.421e-02	...........v.	303.8996	+37.0819	 0.83	 0.51
   85096	 5.14622	074.80	+01.15	303.9000	+37.0828	2rp500248n00.005	S	 	J201536.0+370458	 2.841e-02	.............	303.9000	+37.0828	 0.87	 0.50
   85155	 5.10952	074.81	+00.63	304.4500	+36.8044	2rp500248a01.012	 	 	J201748.0+364816	 3.727e-03	.d..isl.np.v.	304.4500	+36.8044	 0.68	 1.29
   85128	 5.09310	074.83	+00.88	304.2021	+36.9633	2rp500248n00.007	S	 	J201648.5+365748	 3.928e-03	.............	304.2021	+36.9633	 0.51	 0.21
   85130	 5.09227	074.83	+00.88	304.2042	+36.9631	2rp500248a01.008	 	 	J201649.0+365747	 3.024e-03	........n..v.	304.2042	+36.9631	-0.03	-0.07
   85093	 5.07011	074.88	+01.21	303.8929	+37.1861	2rp500248n00.003	S	 	J201534.3+371110	 2.552e-02	.de.isl..p.v.	303.8929	+37.1861	 1.02	 0.70
   85094	 5.06968	074.88	+01.21	303.8963	+37.1844	2rp500248a01.004	 	 	J201535.1+371104	 2.993e-02	.d..isl.np.v.	303.8963	+37.1844	 3.34	 0.92
   85097	 5.06454	074.88	+01.21	303.9008	+37.1881	2rp200564n00.001	S	 	J201536.2+371116	 1.752e-02	.d..isl..p.v.	303.9008	+37.1881	 0.70	 0.80
   84086	 7.21165	074.89	+05.85	298.8946	+39.6764	2rp201099n00.020	 	 	J195534.6+394035	 6.054e-03	.d..isl.np.v.	298.8946	+39.6764	 1.46	-0.55
   85122	 5.00843	074.92	+00.99	304.1546	+37.0978	2rp500248a01.005	S	 	J201637.1+370552	 1.630e-02	...........v.	304.1546	+37.0978	 0.10	-0.22
   85123	 5.00602	074.92	+00.99	304.1550	+37.1006	2rp500248n00.004	S	 	J201637.2+370601	 1.025e-02	.............	304.1550	+37.1006	-0.03	-0.18
   85124	 5.00267	074.93	+00.99	304.1575	+37.1033	2rp200564n00.002	S	 	J201637.8+370612	 1.094e-02	c...isl..p.v.	304.1575	+37.1033	 0.17	-0.05
