#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2126
#Name: II/126
#Title:	IRAS Serendipitous Survey Catalog (IPAC 1986)
#Table	II_126_sources:
#Name: II/126/sources
#Title:	Properties of the point sources identified
#Coosys	B1950:	eq_FK4 1950
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.9, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS/SSC Source Name (1)        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Right Ascension 1950 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Declination 1950 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ANGLE	(I3)	Position Angle of SSC Source Error Box expressed in degrees East of North.	[ucd=ERROR]
#Column	FLUX12	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_12]
#Column	FLUX25	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_25]
#Column	FLUX60	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_60]
#Column	RGRID	(I5)	Reference Grid Number        (link)	[ucd=REFER_CODE]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	ANGLE	FLUX12	FLUX25	FLUX60	RGRID
   35612	 9.68310	070.27	+01.43	300.5980	+33.4318	20004+3317 	20 00 27.7	+33 17 28	 84	 1.42e-01	 4.08e-01	 3.91e+00	 2049
   35559	 9.70635	070.28	+01.85	300.1805	+33.6698	19588+3331 	19 58 48.0	+33 31 51	 84	 5.85e-01	 6.35e-01	 7.92e+00	 2049
   36450	 9.97439	070.29	-01.92	303.9494	+31.6283	20138+3128 	20 13 48.2	+31 28 26	 73	 3.86e-01	 1.28e-01	 3.49e-01	 2793
   35595	 9.67074	070.29	+01.60	300.4404	+33.5459	19598+3324 	19 59 50.1	+33 24 21	 84	 2.93e+02	 1.78e+03	 5.06e+03	 2049
   36428	 9.90751	070.30	-01.70	303.7383	+31.7625	20129+3136 	20 12 57.8	+31 36 32	 73	 1.03e-01	 1.28e-01	 1.16e+00	 2793
   36434	 9.92148	070.30	-01.76	303.7961	+31.7300	20131+3134 	20 13 11.6	+31 34 34	 73	 1.69e-01	 1.28e-01	 3.49e-01	 2793
   36414	 9.87418	070.30	-01.56	303.6030	+31.8406	20124+3141 	20 12 25.5	+31 41 15	 73	 2.31e-01	 2.82e-01	 2.19e+00	 2793
   36458	 9.98670	070.30	-02.02	304.0577	+31.5843	20142+3125 	20 14 14.1	+31 25 46	 73	 1.62e-01	 1.28e-01	 3.49e-01	 2793
   35573	 9.67004	070.31	+01.76	300.2925	+33.6422	19592+3330 	19 59 14.8	+33 30 10	 84	 1.95e+00	 4.68e+00	 9.44e+01	 2049
   36407	 9.84251	070.31	-01.46	303.5100	+31.9046	20120+3145 	20 12 03.3	+31 45 07	 73	 1.03e-01	 1.31e-01	 3.49e-01	 2793
   36454	 9.95568	070.31	-01.95	303.9902	+31.6363	20139+3128 	20 13 58.0	+31 28 54	 73	 1.03e-01	 2.68e-01	 3.49e-01	 2793
   36325	 9.73728	070.32	-00.96	303.0230	+32.1890	20101+3202 	20 10 07.0	+32 02 18	 74	 1.02e-01	 4.65e-01	 3.84e-01	 2774
   36353	 9.78926	070.32	-01.25	303.3102	+32.0294	20112+3152 	20 11 15.6	+31 52 39	 74	 1.02e-01	 1.12e-01	 2.15e+00	 2774
   36328	 9.74282	070.32	-01.01	303.0774	+32.1629	20103+3200 	20 10 20.0	+32 00 43	 74	 1.02e-01	 1.88e-01	 3.84e-01	 2774
   36336	 9.75411	070.32	-01.08	303.1436	+32.1265	20105+3158 	20 10 35.8	+31 58 31	 74	 1.02e-01	 1.12e-01	 1.52e+00	 2774
   35613	 9.61126	070.34	+01.47	300.6033	+33.5179	20004+3322 	20 00 29.1	+33 22 38	 84	 1.42e-01	 1.69e-01	 1.50e+01	 2049
   35588	 9.62671	070.34	+01.67	300.3978	+33.6287	19596+3329 	19 59 40.0	+33 29 20	 84	 4.40e+00	 1.69e-01	 8.02e-01	 2049
   36459	 9.93842	070.35	-02.00	304.0579	+31.6352	20142+3128 	20 14 14.2	+31 28 49	 73	 1.59e-01	 1.28e-01	 3.49e-01	 2793
   36429	 9.85986	070.35	-01.69	303.7547	+31.8081	20130+3139 	20 13 01.8	+31 39 16	 73	 2.88e+00	 1.46e+00	 3.49e-01	 2793
   36332	 9.72092	070.35	-01.03	303.1141	+32.1733	20104+3201 	20 10 28.8	+32 01 20	 74	 2.52e-01	 1.12e-01	 3.84e-01	 2774
   36369	 9.77478	070.35	-01.33	303.4122	+32.0101	20116+3151 	20 11 40.0	+31 51 28	 74	 1.02e-01	 2.94e-01	 3.84e-01	 2774
   36442	 9.87150	070.36	-01.79	303.8668	+31.7616	20134+3136 	20 13 28.6	+31 36 27	 73	 1.03e-01	 1.28e-01	 1.00e+00	 2793
   35607	 9.59650	070.36	+01.55	300.5379	+33.5774	20002+3326 	20 00 13.5	+33 26 13	 84	 7.43e+00	 1.21e+02	 8.02e-01	 2049
   36378	 9.75424	070.38	-01.37	303.4647	+32.0144	20118+3151 	20 11 52.6	+31 51 43	 74	 1.02e-01	 1.12e-01	 8.80e+00	 2774
   36375	 9.74852	070.38	-01.35	303.4534	+32.0244	20118+3152 	20 11 49.9	+31 52 19	 74	 2.19e-01	 1.12e-01	 3.84e-01	 2774
   36410	 9.77559	070.38	-01.48	303.5824	+31.9527	20123+3147 	20 12 20.7	+31 47 59	 73	 1.26e-01	 1.28e-01	 3.41e+00	 2793
   35562	 9.60336	070.39	+01.90	300.2023	+33.7874	19588+3338 	19 58 53.4	+33 38 54	 84	 1.68e-01	 1.69e-01	 8.02e-01	 2049
   36406	 9.73883	070.40	-01.39	303.4989	+32.0196	20120+3152 	20 12 00.8	+31 52 01	 73	 1.03e-01	 1.28e-01	 8.32e+00	 2793
   36324	 9.63461	070.41	-00.89	303.0115	+32.3057	20100+3209 	20 10 04.4	+32 09 18	 74	 4.39e-01	 1.38e-01	 3.84e-01	 2774
   36382	 9.72819	070.41	-01.39	303.5114	+32.0269	20120+3152 	20 12 03.8	+31 52 27	 74	 1.02e-01	 1.12e-01	 3.84e-01	 2774
   36421	 9.76509	070.41	-01.57	303.6843	+31.9312	20127+3146 	20 12 45.1	+31 46 40	 73	 1.03e-01	 1.28e-01	 2.50e+00	 2793
   36465	 9.87152	070.42	-02.00	304.1080	+31.6915	20144+3132 	20 14 26.3	+31 32 11	 73	 3.83e-01	 2.46e-01	 3.49e-01	 2793
   35606	 9.54777	070.42	+01.61	300.5090	+33.6570	20001+3331 	20 00 06.7	+33 31 00	 84	 1.42e-01	 9.87e-01	 8.02e-01	 2049
   36331	 9.64336	070.42	-00.98	303.1136	+32.2580	20104+3206 	20 10 28.8	+32 06 25	 74	 2.26e-01	 9.06e-02	 3.84e-01	 2774
   36321	 9.61123	070.42	-00.78	302.9168	+32.3675	20096+3213 	20 09 41.8	+32 13 02	 74	 1.28e-01	 1.12e-01	 1.67e+00	 2774
   36416	 9.73437	070.43	-01.51	303.6390	+31.9785	20125+3149 	20 12 34.3	+31 49 31	 73	 5.60e-01	 3.86e-01	 3.49e-01	 2793
   36457	 9.82132	070.44	-01.91	304.0413	+31.7634	20141+3136 	20 14 10.4	+31 36 31	 73	 6.33e-01	 4.42e-01	 3.49e-01	 2793
   36426	 9.74127	070.44	-01.59	303.7273	+31.9430	20129+3147 	20 12 55.4	+31 47 22	 73	 1.03e-01	 2.21e-01	 3.49e-01	 2793
   36447	 9.78738	070.45	-01.80	303.9320	+31.8313	20137+3140 	20 13 44.3	+31 40 37	 73	 1.03e-01	 1.51e-01	 3.49e-01	 2793
   36415	 9.70807	070.45	-01.46	303.6029	+32.0183	20124+3151 	20 12 25.7	+31 51 55	 73	 1.03e-01	 3.81e-01	 3.49e-01	 2793
   35615	 9.50469	070.45	+01.53	300.6143	+33.6444	20005+3330 	20 00 31.9	+33 30 13	 84	 2.08e-01	 2.41e-01	 8.02e-01	 2049
   36405	 9.67010	070.45	-01.31	303.4534	+32.1088	20118+3157 	20 11 50.0	+31 57 23	 73	 6.21e-01	 4.53e-01	 3.49e-01	 2793
   36376	 9.66905	070.46	-01.31	303.4559	+32.1091	20118+3157 	20 11 50.6	+31 57 24	 74	 5.35e-01	 3.97e-01	 3.84e-01	 2774
   35596	 9.51556	070.46	+01.70	300.4447	+33.7392	19598+3335 	19 59 51.4	+33 35 57	 84	 1.62e-01	 1.69e-01	 8.02e-01	 2049
   35582	 9.52404	070.46	+01.79	300.3538	+33.7880	19594+3338 	19 59 29.7	+33 38 54	 84	 1.42e-01	 3.17e-01	 8.02e-01	 2049
   36348	 9.62514	070.46	-01.11	303.2670	+32.2223	20110+3204 	20 11 05.5	+32 04 14	 74	 1.02e-01	 1.12e-01	 3.84e-01	 2774
   36344	 9.61186	070.47	-01.07	303.2347	+32.2482	20109+3205 	20 10 57.8	+32 05 48	 74	 6.59e+01	 1.12e-01	 6.68e+00	 2774
   35580	 9.51375	070.47	+01.82	300.3303	+33.8168	19594+3340 	19 59 24.1	+33 40 38	 84	 1.69e-01	 1.69e-01	 8.02e-01	 2049
   36462	 9.79010	070.48	-01.92	304.0762	+31.7864	20143+3137 	20 14 18.8	+31 37 53	 73	 1.03e-01	 1.28e-01	 1.48e+00	 2793
   36460	 9.78475	070.48	-01.91	304.0603	+31.7966	20142+3138 	20 14 15.0	+31 38 30	 73	 1.34e+00	 7.65e-01	 3.49e-01	 2793
   35567	 9.51860	070.48	+01.90	300.2490	+33.8651	19590+3343 	19 59 04.7	+33 43 33	 84	 2.95e-01	 1.95e-01	 8.02e-01	 2049
   36347	 9.59723	070.49	-01.09	303.2601	+32.2550	20110+3206 	20 11 03.9	+32 06 12	 74	 1.02e-01	 3.99e+01	 3.84e-01	 2774
   36453	 9.75643	070.49	-01.82	303.9820	+31.8493	20139+3141 	20 13 56.3	+31 41 41	 73	 8.92e-02	 1.28e-01	 3.49e-01	 2793
   35605	 9.48431	070.49	+01.67	300.4930	+33.7475	20000+3336 	20 00 03.0	+33 36 26	 84	 1.42e-01	 1.71e-01	 8.02e-01	 2049
   36424	 9.68216	070.49	-01.53	303.6997	+32.0148	20128+3151 	20 12 48.9	+31 51 41	 73	 1.03e-01	 1.68e+00	 3.49e-01	 2793
   36446	 9.73340	070.49	-01.76	303.9237	+31.8910	20137+3144 	20 13 42.4	+31 44 12	 73	 4.07e-01	 1.28e-01	 3.49e-01	 2793
   36423	 9.66256	070.51	-01.52	303.6983	+32.0362	20128+3152 	20 12 48.6	+31 52 58	 73	 1.03e-01	 1.28e-01	 3.49e-01	 2793
   36403	 9.59141	070.51	-01.19	303.3726	+32.2216	20115+3204 	20 11 30.8	+32 04 10	 73	 1.03e-01	 1.28e-01	 3.49e-01	 2793
   36366	 9.57398	070.53	-01.19	303.3930	+32.2333	20115+3204 	20 11 35.7	+32 04 52	 74	 6.65e-01	 1.12e-01	 3.84e-01	 2774
   36430	 9.64596	070.53	-01.56	303.7543	+32.0362	20130+3152 	20 13 02.0	+31 52 57	 73	 1.03e-01	 1.28e-01	 9.02e+00	 2793
   36404	 9.56811	070.54	-01.20	303.4055	+32.2353	20116+3204 	20 11 38.7	+32 04 59	 73	 1.03e-01	 4.63e-01	 3.49e-01	 2793
   36339	 9.51951	070.54	-00.95	303.1572	+32.3771	20106+3213 	20 10 39.4	+32 13 33	 74	 2.28e-01	 3.31e-01	 3.84e-01	 2774
   35629	 9.41123	070.54	+01.50	300.7028	+33.7059	20008+3333 	20 00 53.2	+33 33 53	 84	 1.42e-01	 1.69e-01	 1.23e+00	 2049
   35594	 9.42864	070.55	+01.77	300.4381	+33.8542	19598+3342 	19 59 50.0	+33 42 51	 84	 1.91e-01	 1.69e-01	 8.02e-01	 2049
   35577	 9.43624	070.56	+01.89	300.3120	+33.9287	19593+3347 	19 59 19.9	+33 47 21	 84	 1.52e+01	 4.50e+00	 8.02e-01	 2049
   36451	 9.65134	070.58	-01.75	303.9642	+31.9659	20138+3148 	20 13 52.2	+31 48 41	 73	 1.65e-01	 2.24e-01	 3.49e-01	 2793
   36419	 9.56624	070.59	-01.42	303.6518	+32.1544	20126+3200 	20 12 37.6	+32 00 04	 73	 1.03e-01	 4.60e-01	 3.49e-01	 2793
   35625	 9.37389	070.59	+01.54	300.6899	+33.7608	20008+3337 	20 00 50.2	+33 37 11	 84	 4.99e-01	 7.86e-01	 8.02e-01	 2049
   35560	 9.42502	070.59	+02.04	300.1845	+34.0306	19588+3353 	19 58 49.5	+33 53 30	 84	 5.34e+00	 7.22e+00	 8.02e-01	 2049
   36358	 9.47504	070.61	-01.09	303.3459	+32.3570	20114+3212 	20 11 24.6	+32 12 18	 74	 1.29e-01	 1.12e-01	 3.84e-01	 2774
   35624	 9.34644	070.62	+01.58	300.6675	+33.8096	20007+3340 	20 00 44.9	+33 40 07	 84	 2.42e-01	 2.20e-01	 2.33e+00	 2049
   36418	 9.52642	070.62	-01.39	303.6432	+32.1999	20125+3202 	20 12 35.6	+32 02 48	 73	 1.03e-01	 2.50e-01	 3.49e-01	 2793
   35576	 9.36994	070.64	+01.95	300.2998	+34.0228	19592+3353 	19 59 17.1	+33 53 00	 84	 1.42e-01	 5.21e-01	 8.02e-01	 2049
   35561	 9.38117	070.64	+02.05	300.1997	+34.0774	19588+3356 	19 58 53.2	+33 56 18	 84	 1.42e-01	 1.69e-01	 8.02e-01	 2049
   36444	 9.55026	070.65	-01.61	303.8800	+32.0989	20135+3156 	20 13 32.2	+31 56 41	 73	 6.00e-01	 8.39e-01	 8.75e+00	 2793
   35599	 9.34057	070.65	+01.80	300.4630	+33.9504	19599+3348 	19 59 56.1	+33 48 37	 84	 1.42e-01	 1.88e-01	 1.04e+00	 2049
   36455	 9.58170	070.65	-01.74	304.0081	+32.0266	20140+3152 	20 14 02.8	+31 52 19	 73	 1.65e-01	 1.28e-01	 3.49e-01	 2793
   35590	 9.34584	070.65	+01.86	300.4019	+33.9846	19596+3350 	19 59 41.5	+33 50 41	 84	 1.21e+00	 5.35e-01	 8.02e-01	 2049
   35614	 9.31515	070.66	+01.66	300.6120	+33.8849	20005+3344 	20 00 31.7	+33 44 39	 84	 1.42e-01	 1.97e-01	 8.02e-01	 2049
   36408	 9.45237	070.66	-01.25	303.5315	+32.3169	20121+3209 	20 12 09.0	+32 09 51	 73	 1.03e-01	 1.28e-01	 3.15e+00	 2793
   36420	 9.46439	070.68	-01.38	303.6687	+32.2581	20126+3206 	20 12 41.8	+32 06 17	 73	 1.10e-01	 1.28e-01	 3.49e-01	 2793
   35589	 9.27758	070.72	+01.91	300.3975	+34.0757	19596+3356 	19 59 40.6	+33 56 09	 84	 1.42e-01	 1.69e-01	 1.22e+00	 2049
   35564	 9.29676	070.73	+02.09	300.2187	+34.1747	19589+3402 	19 58 57.9	+34 02 08	 84	 6.29e-01	 1.69e-01	 8.02e-01	 2049
   36433	 9.43018	070.73	-01.46	303.7843	+32.2571	20131+3206 	20 13 09.5	+32 06 12	 73	 3.63e-01	 2.04e-01	 3.49e-01	 2793
   36425	 9.40661	070.74	-01.38	303.7131	+32.3055	20128+3209 	20 12 52.5	+32 09 07	 73	 1.03e-01	 1.22e-01	 3.49e-01	 2793
   35569	 9.26950	070.75	+02.06	300.2642	+34.1785	19591+3402 	19 59 08.8	+34 02 21	 84	 1.42e-01	 2.07e-01	 8.02e-01	 2049
   35578	 9.25728	070.76	+02.02	300.3110	+34.1617	19593+3401 	19 59 20.0	+34 01 20	 84	 1.42e-01	 1.69e-01	 9.29e-01	 2049
   36449	 9.42553	070.77	-01.59	303.9394	+32.2133	20137+3203 	20 13 46.6	+32 03 32	 73	 1.03e-01	 9.70e-01	 3.49e-01	 2793
   36432	 9.37231	070.78	-01.40	303.7622	+32.3262	20130+3210 	20 13 04.3	+32 10 21	 73	 2.01e-01	 1.28e-01	 3.49e-01	 2793
   35611	 9.19733	070.79	+01.80	300.5499	+34.0763	20002+3356 	20 00 17.1	+33 56 09	 84	 1.13e+00	 3.25e+00	 6.55e+01	 2049
   35622	 9.17687	070.80	+01.72	300.6448	+34.0395	20006+3353 	20 00 39.8	+33 53 55	 84	 1.57e+00	 6.06e-01	 8.02e-01	 2049
   35597	 9.19641	070.81	+01.91	300.4472	+34.1470	19598+3400 	19 59 52.6	+34 00 25	 84	 2.06e-01	 1.69e-01	 8.02e-01	 2049
   35617	 9.11824	070.87	+01.78	300.6188	+34.1319	20005+3359 	20 00 33.7	+33 59 28	 84	 2.68e-01	 1.69e-01	 8.02e-01	 2049
   35314	 9.29576	070.88	+02.85	299.5314	+34.6973	19562+3433 	19 56 14.0	+34 33 40	 69	 7.60e-02	 7.37e-02	 9.72e-01	14616
   35313	 9.29329	070.88	+02.85	299.5272	+34.7043	19562+3434 	19 56 13.0	+34 34 05	 69	 7.60e-02	 1.90e-01	 2.86e-01	14616
