#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2125
#Name: II/125
#Title:	IRAS catalogue of Point Sources, Version 2.0 (IPAC 1986)
#Table	II_125_main:
#Name: II/125/main
#Title:	IRAS Point Sources
#Coosys	B1950_1983.500:	eq_FK4 1950_1983.500
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.8, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000.0 Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000.0 Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS source name        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Hours RA, equinox 1950.0, epoch 1983.5	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Degrees Dec, equinox 1950.0, epoch 1983.5	[ucd=POS_EQ_DEC_MAIN]
#Column	Fnu_12	(E9.2)	Average non-color corrected flux density, 12um	[ucd=PHOT_FLUX_IR_12]
#Column	Fnu_25	(E9.2)	Average non-color corrected flux density, 25um	[ucd=PHOT_FLUX_IR_25]
#Column	Fnu_60	(E9.2)	Average non-color corrected flux density, 60um	[ucd=PHOT_FLUX_IR_60]
#Column	Fnu_100	(E9.2)	Average non-color corrected flux density, 100um	[ucd=PHOT_FLUX_IR_100]
#Column	FQual_12	(I1)	Flux density quality, 12um	[ucd=CODE_QUALITY]
#Column	FQual_25	(I1)	Flux density quality, 25um	[ucd=CODE_QUALITY]
#Column	FQual_60	(I1)	Flux density quality, 60um	[ucd=CODE_QUALITY]
#Column	FQual_100	(I1)	Flux density quality, 100um	[ucd=CODE_QUALITY]
#Column	NLRS	(I2)	Number of significant LRS spectra        (link)	[ucd=NUMBER]
#Column	NID	(I2)	Number of positional associations        (link)	[ucd=NUMBER]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	Fnu_12	Fnu_25	Fnu_60	Fnu_100	FQual_12	FQual_25	FQual_60	FQual_100	NLRS	NID
  212918	 9.93890	070.04	+01.73	300.1476	+33.3954	19586+3315 	19 58 39.7	+33 15 24	 5.06e-01	 8.46e-01	 1.98e+01	 8.07e+01	3	2	1	3	 0	 0
  215096	 9.91427	070.04	-00.12	302.0147	+32.4074	20060+3215 	20 06 05.7	+32 15 39	 2.55e-01	 5.10e-01	 1.44e+00	 4.48e+01	1	3	2	1	 0	 0
  215626	 9.95768	070.04	-00.59	302.4765	+32.1598	20079+3200 	20 07 56.0	+32 00 41	 2.58e-01	 7.23e-01	 8.02e+00	 2.77e+01	1	3	2	1	 0	 0
  214078	 9.87490	070.05	+00.75	301.1476	+32.8821	20026+3244 	20 02 38.6	+32 44 21	 1.08e+00	 4.44e-01	 1.75e+00	 6.13e+01	3	3	2	1	 0	 1
  212709	 9.94754	070.05	+01.89	299.9855	+33.4909	19580+3321 	19 58 01.0	+33 21 10	 9.03e-01	 1.30e+00	 4.13e+01	 1.79e+02	2	2	1	1	 0	 0
  215413	 9.93304	070.05	-00.41	302.3044	+32.2591	20072+3206 	20 07 14.9	+32 06 41	 3.63e-01	 3.91e-01	 1.83e+00	 4.14e+01	1	3	2	1	 0	 0
  213287	 9.89442	070.05	+01.41	300.4853	+33.2388	20000+3305 	20 00 00.4	+33 05 55	 3.63e+00	 1.95e+00	 3.48e+00	 4.23e+01	3	3	1	1	 0	 1
  212767	 9.93394	070.06	+01.86	300.0260	+33.4813	19581+3320 	19 58 10.7	+33 20 35	 1.23e+00	 3.38e+00	 4.13e+01	 1.79e+02	3	3	1	1	 0	 0
  214208	 9.85574	070.06	+00.65	301.2564	+32.8467	20030+3242 	20 03 04.6	+32 42 12	 5.96e-01	 1.19e+00	 5.54e+00	 5.98e+01	3	1	1	1	 0	 0
  213639	 9.85952	070.07	+01.12	300.7849	+33.1034	20012+3257 	20 01 12.0	+32 57 43	 9.46e-01	 4.65e-01	 4.49e+00	 7.19e+01	3	3	1	1	 0	 1
  215366	 9.89509	070.08	-00.34	302.2493	+32.3253	20070+3210 	20 07 01.8	+32 10 40	 5.79e-01	 5.05e-01	 3.50e+00	 2.19e+01	2	2	2	2	 0	 0
  213877	 9.84508	070.08	+00.93	300.9791	+33.0103	20019+3252 	20 01 58.4	+32 52 05	 8.27e-01	 6.72e-01	 4.91e+00	 5.24e+01	3	3	1	1	 0	 1
  213255	 9.86770	070.08	+01.45	300.4562	+33.2898	19598+3308 	19 59 53.5	+33 08 59	 1.12e+00	 3.97e-01	 2.58e+00	 5.23e+01	1	3	3	1	 0	 3
  215094	 9.86183	070.09	-00.09	302.0131	+32.4677	20060+3219 	20 06 05.4	+32 19 16	 8.83e-01	 2.12e-01	 3.75e+00	 5.14e+01	3	2	1	1	 0	 0
  213156	 9.86361	070.10	+01.55	300.3627	+33.3530	19595+3312 	19 59 31.2	+33 12 48	 6.84e+00	 5.01e+00	 4.22e+00	 8.36e+01	2	3	1	1	 0	 1
  216201	 9.97227	070.10	-01.04	302.9614	+31.9554	20098+3148 	20 09 51.9	+31 48 18	 2.51e-01	 4.28e-01	 2.26e+00	 9.75e+01	1	3	3	1	 0	 1
  213837	 9.82247	070.10	+00.98	300.9496	+33.0541	20018+3254 	20 01 51.4	+32 54 43	 9.25e-01	 4.43e-01	 3.82e+00	 2.80e+01	1	1	3	2	 0	 0
  214821	 9.81639	070.12	+00.17	301.7684	+32.6341	20051+3229 	20 05 07.0	+32 29 19	 8.42e-01	 4.70e-01	 5.55e+00	 6.39e+01	3	3	1	1	 0	 0
  216438	 9.97983	070.12	-01.23	303.1680	+31.8729	20106+3143 	20 10 41.3	+31 43 18	 2.50e-01	 2.98e-01	 5.86e+00	 3.99e+01	1	1	1	3	 0	 0
  214348	 9.79253	070.13	+00.57	301.3736	+32.8597	20035+3242 	20 03 32.7	+32 42 57	 7.49e+00	 2.56e+01	 2.12e+01	 1.64e+01	3	3	3	2	 0	 0
  213066	 9.83936	070.13	+01.65	300.2863	+33.4319	19592+3317 	19 59 13.0	+33 17 33	 1.11e+00	 1.13e+00	 2.31e+01	 2.18e+02	1	3	1	1	 0	 0
  215440	 9.84629	070.13	-00.38	302.3268	+32.3467	20073+3211 	20 07 20.4	+32 11 56	 2.51e-01	 2.91e-01	 3.19e+00	 2.72e+01	1	3	2	1	 0	 1
  214763	 9.79647	070.13	+00.24	301.7114	+32.6847	20048+3232 	20 04 53.4	+32 32 22	 7.66e-01	 2.60e-01	 5.59e+00	 4.28e+01	3	3	1	1	 0	 0
  215751	 9.86240	070.14	-00.63	302.5851	+32.2214	20083+3204 	20 08 22.1	+32 04 21	 5.21e-01	 4.28e-01	 5.16e+00	 1.55e+01	3	1	1	1	 0	 0
  212987	 9.83112	070.14	+01.73	300.2192	+33.4855	19589+3320 	19 58 57.0	+33 20 47	 3.22e+00	 2.01e+01	 1.56e+02	 4.21e+02	2	3	2	2	 0	 3
  213442	 9.79318	070.15	+01.34	300.6131	+33.2863	20005+3308 	20 00 31.1	+33 08 44	 5.82e-01	 9.07e-01	 4.83e+00	 7.38e+01	3	1	1	1	 0	 1
  214023	 9.76066	070.16	+00.86	301.1024	+33.0431	20024+3254 	20 02 28.0	+32 54 01	 1.11e+00	 7.94e-01	 3.68e+00	 2.48e+01	1	1	2	3	 0	 0
  216779	 9.99800	070.17	-01.52	303.4792	+31.7481	20119+3135 	20 11 55.7	+31 35 44	 3.84e-01	 2.57e-01	 1.62e+00	 1.38e+01	1	1	3	1	 0	 0
  213651	 9.76548	070.17	+01.17	300.7993	+33.2096	20012+3304 	20 01 15.6	+33 04 05	 1.06e+00	 2.97e-01	 1.98e+00	 6.88e+01	1	1	3	1	 0	 0
  214556	 9.74977	070.17	+00.44	301.5399	+32.8243	20042+3240 	20 04 12.5	+32 40 47	 5.90e-01	 2.54e-01	 4.16e+00	 4.68e+01	3	1	1	1	 0	 1
  215121	 9.76703	070.18	-00.05	302.0355	+32.5652	20061+3225 	20 06 10.9	+32 25 07	 4.07e-01	 2.62e-01	 5.92e+00	 5.26e+01	3	1	1	1	 0	 0
  213967	 9.74281	070.18	+00.93	301.0504	+33.0934	20022+3257 	20 02 15.6	+32 57 03	 4.67e-01	 9.28e-01	 4.10e+00	 7.11e+01	3	1	1	1	 0	 0
  213465	 9.76138	070.18	+01.34	300.6292	+33.3158	20005+3310 	20 00 35.0	+33 10 30	 1.66e+00	 9.45e-01	 1.92e+00	 7.42e+01	1	1	3	1	 0	 0
  214755	 9.73720	070.19	+00.29	301.7034	+32.7572	20048+3236 	20 04 51.6	+32 36 43	 4.77e-01	 3.39e-01	 5.56e+00	 6.48e+01	3	3	1	1	 0	 0
  213803	 9.73283	070.20	+01.06	300.9230	+33.1776	20017+3302 	20 01 45.2	+33 02 08	 5.28e-01	 7.99e-01	 3.46e+00	 3.21e+01	3	1	1	1	 0	 1
  211538	 9.98756	070.20	+02.97	298.9717	+34.1810	19539+3402 	19 53 59.1	+34 02 50	 3.22e-01	 2.50e-01	 6.35e-01	 4.76e+01	3	1	1	1	 0	 0
  211604	 9.97072	070.20	+02.91	299.0349	+34.1538	19542+3401 	19 54 14.2	+34 01 11	 5.42e-01	 2.81e-01	 9.13e-01	 1.13e+01	1	1	1	3	 0	 0
  212172	 9.87571	070.20	+02.44	299.5222	+33.9095	19561+3346 	19 56 10.6	+33 46 24	 4.59e-01	 2.50e-01	 4.09e+00	 5.56e+01	3	1	1	1	 0	 0
  214148	 9.71749	070.20	+00.79	301.2064	+33.0376	20028+3253 	20 02 52.9	+32 53 40	 3.56e-01	 1.12e+00	 6.24e+00	 8.09e+01	3	1	1	1	 0	 0
  212306	 9.85276	070.21	+02.33	299.6364	+33.8566	19566+3343 	19 56 37.9	+33 43 12	 3.47e-01	 2.50e-01	 4.40e+00	 2.02e+01	1	1	1	3	 0	 0
  214543	 9.71642	070.21	+00.47	301.5271	+32.8698	20041+3243 	20 04 09.5	+32 43 31	 5.50e+00	 2.50e+00	 4.14e+00	 4.68e+01	3	3	1	1	 0	 0
  212026	 9.89575	070.21	+02.58	299.3869	+33.9834	19556+3350 	19 55 38.3	+33 50 52	 4.41e-01	 2.50e-01	 3.38e+00	 5.39e+01	3	1	1	1	 0	 0
  213100	 9.75526	070.22	+01.68	300.3104	+33.5225	19593+3322 	19 59 18.9	+33 22 59	 1.73e+00	 4.12e+00	 4.89e+00	 4.11e+02	1	3	1	1	 0	 2
  213050	 9.73919	070.24	+01.73	300.2730	+33.5671	19591+3325 	19 59 10.0	+33 25 40	 3.48e+00	 2.05e+00	 1.31e+02	 4.11e+02	3	2	3	3	 0	 2
  216931	 9.94593	070.24	-01.61	303.6135	+31.7606	20124+3136 	20 12 27.9	+31 36 27	 2.50e-01	 3.40e-01	 5.67e+00	 3.43e+01	1	3	1	3	 0	 0
  213250	 9.71962	070.24	+01.56	300.4496	+33.4787	19598+3320 	19 59 52.2	+33 20 19	 1.71e+01	 8.01e+00	 4.47e+00	 1.30e+04	3	2	1	1	 0	 2
  217176	 9.99588	070.24	-01.83	303.8287	+31.6412	20133+3129 	20 13 19.3	+31 29 14	 6.14e-01	 3.10e-01	 4.68e+00	 5.89e+01	3	3	1	1	 0	 1
  216683	 9.89140	070.24	-01.38	303.3929	+31.8911	20115+3144 	20 11 35.2	+31 44 20	 3.04e-01	 3.16e-01	 2.76e+00	 1.80e+01	2	2	3	3	 0	 0
  216999	 9.94528	070.25	-01.66	303.6662	+31.7447	20126+3135 	20 12 40.5	+31 35 29	 3.34e-01	 2.50e-01	 2.71e+00	 3.43e+01	3	1	1	1	 0	 0
  216564	 9.86204	070.25	-01.27	303.2873	+31.9587	20111+3148 	20 11 10.0	+31 48 25	 2.68e-01	 4.52e-01	 3.87e+00	 2.58e+01	1	3	1	1	 0	 1
  215020	 9.68642	070.25	+00.09	301.9387	+32.7023	20057+3233 	20 05 47.9	+32 33 22	 3.35e-01	 2.71e-01	 3.12e+00	 4.59e+01	3	1	1	1	 0	 0
  214919	 9.67736	070.26	+00.18	301.8529	+32.7537	20054+3236 	20 05 27.4	+32 36 28	 1.48e+00	 8.88e-01	 4.67e+00	 5.51e+01	3	3	1	1	 0	 0
  211709	 9.90469	070.26	+02.87	299.1178	+34.1794	19545+3402 	19 54 34.1	+34 02 42	 5.47e-01	 2.59e-01	 3.85e+00	 1.14e+01	3	1	1	1	 0	 0
  214712	 9.66671	070.26	+00.36	301.6682	+32.8565	20047+3242 	20 04 43.3	+32 42 41	 3.63e-01	 3.01e-01	 3.44e+00	 1.38e+01	3	1	1	1	 0	 0
  212909	 9.73186	070.26	+01.87	300.1409	+33.6635	19586+3331 	19 58 38.5	+33 31 29	 7.18e-01	 6.98e-01	 1.38e+01	 7.05e+01	3	3	3	2	 0	 0
  214274	 9.65374	070.27	+00.73	301.3069	+33.0592	20032+3254 	20 03 17.0	+32 54 56	 1.16e+00	 4.60e-01	 4.56e+00	 5.83e+01	3	3	1	1	 0	 0
  213424	 9.67898	070.27	+01.43	300.6014	+33.4349	20004+3317 	20 00 28.5	+33 17 39	 1.10e+00	 5.30e-01	 3.70e+00	 7.63e+01	1	3	3	1	 0	 2
  212654	 9.74047	070.28	+02.08	299.9465	+33.7846	19578+3338 	19 57 52.1	+33 38 48	 4.36e-01	 2.42e-01	 1.74e+00	 6.70e+01	1	3	1	1	 0	 0
  215347	 9.67080	070.29	-00.18	302.2311	+32.5861	20069+3226 	20 06 57.8	+32 26 19	 8.31e-01	 4.22e-01	 3.28e+00	 6.89e+01	3	3	1	1	 0	 0
  215056	 9.64657	070.29	+00.09	301.9682	+32.7341	20059+3235 	20 05 55.0	+32 35 16	 5.73e-01	 4.52e-01	 4.09e+00	 5.09e+01	3	1	1	1	 0	 0
  213244	 9.67117	070.29	+01.60	300.4400	+33.5456	19598+3324 	19 59 50.0	+33 24 20	 3.02e+02	 1.78e+03	 1.06e+04	 1.30e+04	3	3	3	3	 6	 3
  211855	 9.84727	070.30	+02.77	299.2385	+34.1636	19550+3401 	19 55 03.0	+34 01 43	 2.63e+00	 1.13e+00	 3.16e+00	 3.72e+01	3	3	1	1	 0	 0
  216924	 9.87381	070.30	-01.56	303.6052	+31.8403	20124+3141 	20 12 26.0	+31 41 14	 3.76e-01	 2.50e-01	 1.79e+00	 3.43e+01	1	1	3	1	 0	 1
  213711	 9.62871	070.31	+01.21	300.8448	+33.3500	20014+3312 	20 01 26.7	+33 12 30	 3.11e+00	 1.68e+00	 4.75e+00	 5.99e+01	3	3	1	1	 0	 0
  217100	 9.89929	070.31	-01.71	303.7583	+31.7651	20130+3136 	20 13 02.6	+31 36 41	 3.82e-01	 2.50e-01	 1.31e+00	 2.21e+01	1	1	3	1	 0	 0
  217356	 9.95688	070.31	-01.95	303.9869	+31.6360	20139+3128 	20 13 57.2	+31 28 53	 3.05e-01	 2.60e-01	 5.77e+00	 7.10e+01	3	1	1	1	 0	 1
  213090	 9.66506	070.31	+01.75	300.3030	+33.6417	19592+3330 	19 59 17.3	+33 30 08	 2.58e+00	 4.91e+00	 9.52e+01	 4.11e+02	3	3	3	1	 0	 1
  213772	 9.61552	070.32	+01.16	300.9025	+33.3322	20016+3311 	20 01 40.5	+33 11 25	 1.29e+00	 4.53e-01	 4.78e+00	 5.52e+01	3	2	1	1	 0	 0
  213213	 9.64830	070.32	+01.65	300.4101	+33.5935	19597+3327A	19 59 42.9	+33 27 13	 6.24e+00	 4.85e+01	 1.06e+04	 1.30e+04	3	3	1	1	 0	 0
  212812	 9.68640	070.32	+01.98	300.0676	+33.7715	19583+3337 	19 58 21.1	+33 37 59	 4.92e-01	 3.21e-01	 5.37e+00	 7.72e+01	3	1	1	1	 0	 0
  213375	 9.63120	070.32	+01.51	300.5566	+33.5222	20002+3322 	20 00 17.9	+33 22 54	 2.19e+00	 1.47e+00	 2.51e+01	 1.30e+04	1	3	1	1	 0	 1
  216293	 9.73362	070.32	-00.96	303.0322	+32.1896	20101+3202 	20 10 09.2	+32 02 20	 6.60e-01	 3.81e-01	 5.86e+00	 6.74e+01	3	3	1	1	 0	 1
  212138	 9.77150	070.33	+02.55	299.4920	+34.0721	19560+3356 	19 56 03.6	+33 56 10	 2.85e+00	 2.06e+00	 4.14e+00	 4.36e+01	3	3	1	1	 0	 0
  211100	 9.97416	070.33	+03.43	298.5760	+34.5327	19524+3424 	19 52 24.8	+34 24 02	 3.67e+00	 2.72e+00	 7.93e-01	 3.19e+01	3	3	2	1	 0	 0
  212297	 9.74420	070.33	+02.42	299.6242	+34.0102	19565+3352 	19 56 35.2	+33 52 25	 9.44e-01	 5.05e-01	 3.96e+00	 6.05e+01	3	3	1	1	 0	 0
  212948	 9.66036	070.33	+01.88	300.1844	+33.7262	19588+3335 	19 58 49.0	+33 35 14	 6.63e-01	 8.48e-01	 8.56e+00	 4.79e+01	3	3	2	2	 0	 0
  217086	 9.86635	070.34	-01.68	303.7460	+31.8039	20129+3139 	20 12 59.7	+31 39 01	 3.55e+00	 1.52e+00	 4.83e+00	 7.13e+01	3	3	1	1	 0	 1
  215297	 9.61204	070.34	-00.10	302.1868	+32.6725	20067+3231 	20 06 47.3	+32 31 31	 1.41e+01	 1.22e+01	 2.92e+00	 6.65e+01	3	3	3	1	 3	 0
  212224	 9.73911	070.35	+02.49	299.5672	+34.0594	19563+3355 	19 56 21.6	+33 55 23	 7.80e-01	 2.50e-01	 4.40e+00	 6.38e+01	3	1	1	1	 0	 2
  213210	 9.62135	070.35	+01.67	300.4087	+33.6285	19597+3329 	19 59 42.6	+33 29 19	 4.08e+00	 4.27e+00	 9.52e+01	 1.30e+04	3	2	1	1	 0	 1
  216717	 9.76887	070.36	-01.34	303.4243	+32.0123	20117+3151 	20 11 42.9	+31 51 36	 2.60e-01	 3.23e-01	 3.91e+00	 8.54e+01	3	1	2	1	 0	 1
  217647	 9.96776	070.37	-02.18	304.2474	+31.5520	20149+3123 	20 14 59.5	+31 23 47	 1.64e+00	 1.01e+00	 7.27e-01	 5.53e+01	2	3	1	1	 0	 0
  213017	 9.62069	070.37	+01.84	300.2410	+33.7392	19590+3336 	19 59 02.6	+33 36 00	 3.40e-01	 6.40e-01	 1.53e+01	 5.70e+01	2	2	2	1	 0	 0
  215467	 9.59472	070.37	-00.25	302.3491	+32.6199	20074+3228 	20 07 26.1	+32 28 19	 3.24e-01	 3.41e-01	 1.88e+00	 4.31e+01	2	1	3	1	 0	 0
  214593	 9.54661	070.37	+00.53	301.5774	+33.0431	20043+3253 	20 04 21.8	+32 53 54	 5.26e-01	 8.39e-01	 5.32e+00	 4.34e+01	3	1	1	1	 0	 1
  216894	 9.77934	070.38	-01.48	303.5803	+31.9493	20123+3147 	20 12 20.2	+31 47 47	 6.94e-01	 7.70e-01	 3.13e+00	 5.44e+01	1	1	3	1	 0	 1
  214840	 9.54444	070.38	+00.33	301.7821	+32.9420	20051+3247 	20 05 10.7	+32 47 47	 5.67e-01	 3.39e-01	 4.92e+00	 5.35e+01	3	1	1	1	 0	 0
  216784	 9.74778	070.39	-01.39	303.4903	+32.0129	20119+3151 	20 11 58.7	+31 51 37	 2.50e-01	 6.15e-01	 8.66e+00	 5.44e+01	1	3	2	1	 0	 1
  217705	 9.94977	070.40	-02.21	304.3017	+31.5564	20152+3124 	20 15 12.5	+31 24 02	 2.88e+00	 6.87e-01	 5.73e-01	 2.29e+01	3	2	1	2	 0	 3
  214038	 9.52761	070.40	+01.00	301.1150	+33.3164	20025+3310 	20 02 31.4	+33 10 25	 6.05e-01	 2.98e-01	 5.39e+00	 5.24e+01	3	2	1	1	 0	 0
  214092	 9.52277	070.40	+00.96	301.1623	+33.2955	20027+3309 	20 02 42.7	+33 09 09	 5.17e-01	 8.71e-01	 4.11e+00	 5.26e+01	3	1	1	1	 0	 0
  214196	 9.52012	070.40	+00.88	301.2439	+33.2531	20030+3306 	20 03 02.2	+33 06 35	 1.80e+00	 3.45e-01	 1.98e+00	 6.59e+01	1	1	3	1	 0	 0
  216251	 9.64267	070.40	-00.88	302.9986	+32.3017	20100+3209 	20 10 01.3	+32 09 04	 5.09e-01	 2.50e-01	 5.82e+00	 6.31e+01	3	1	1	1	 0	 1
  216058	 9.61627	070.41	-00.73	302.8491	+32.3883	20094+3214 	20 09 25.6	+32 14 18	 4.78e-01	 2.79e-01	 6.01e+00	 8.61e+01	3	3	1	1	 0	 0
  213871	 9.52400	070.41	+01.15	300.9705	+33.4042	20019+3315 	20 01 56.9	+33 15 43	 8.17e-01	 6.46e-01	 4.29e+00	 5.46e+01	3	3	1	1	 0	 0
  217745	 9.94218	070.41	-02.24	304.3376	+31.5549	20153+3123 	20 15 21.1	+31 23 56	 2.78e-01	 2.50e-01	 2.41e+00	 1.96e+01	1	1	3	1	 0	 0
  213315	 9.55145	070.41	+01.61	300.5062	+33.6542	20001+3330 	20 00 06.0	+33 30 50	 1.01e+00	 9.72e-01	 1.06e+01	 6.17e+01	3	3	2	3	 0	 2
